Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gabriel Jesus,9.0,br BRA,FW,26-018,90,0,0,0,0,6,1,0,0,42,2,0,0,1.1,1.1,0.0,4,0,18,25,72.0,4,23,1,5,2,Arsenal
Gabriel Martinelli,11.0,br BRA,LW,21-307,84,1,0,0,0,2,1,0,0,66,1,0,2,0.4,0.4,1.1,7,0,39,53,73.6,3,48,5,7,4,Arsenal
Reiss Nelson,24.0,eng ENG,LW,23-132,6,0,0,0,0,2,1,0,0,11,1,0,0,0.1,0.1,0.1,4,1,6,8,75.0,1,7,1,0,0,Arsenal
Bukayo Saka,7.0,eng ENG,RW,21-228,90,1,1,0,0,2,1,0,0,60,3,0,0,0.3,0.3,0.5,10,2,39,50,78.0,7,39,11,7,2,Arsenal
Fabio Vieira,21.0,pt POR,LM,22-326,56,0,0,0,0,2,0,0,0,35,0,0,0,0.1,0.1,0.1,3,0,23,31,74.2,2,18,2,0,0,Arsenal
Leandro Trossard,19.0,be BEL,"CM,LM",28-138,34,0,0,0,0,1,0,0,0,33,0,0,1,0.1,0.1,0.0,2,0,25,29,86.2,6,22,1,0,0,Arsenal
Thomas Partey,5.0,gh GHA,"CM,DM",29-312,90,0,0,0,0,2,0,0,0,98,5,1,0,0.1,0.1,0.0,5,0,78,86,90.7,13,67,1,1,1,Arsenal
Martin Ødegaard,8.0,no NOR,"RM,CM",24-125,90,1,0,0,0,4,1,0,0,79,1,1,0,0.3,0.3,0.1,7,1,57,68,83.8,12,44,3,6,2,Arsenal
Oleksandr Zinchenko,35.0,ua UKR,LB,26-127,71,0,0,0,0,1,0,1,0,89,0,0,1,0.0,0.0,0.0,1,0,69,84,82.1,12,58,2,0,0,Arsenal
Eddie Nketiah,14.0,eng ENG,FW,23-326,19,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,0,0,1,2,50.0,0,4,0,0,0,Arsenal
Gabriel Magalhães,6.0,br BRA,CB,25-123,90,0,0,0,0,0,0,0,0,88,1,1,0,0.0,0.0,0.0,1,0,79,85,92.9,6,61,2,0,0,Arsenal
Rob Holding,16.0,eng ENG,CB,27-213,90,0,0,0,0,1,0,0,0,92,1,0,0,0.1,0.1,0.0,0,0,79,91,86.8,10,67,1,0,0,Arsenal
Ben White,4.0,eng ENG,"RB,CB",25-195,90,0,1,0,0,2,0,0,0,96,2,1,1,0.1,0.1,0.0,2,1,76,90,84.4,14,53,3,1,0,Arsenal
Aaron Ramsdale,1.0,eng ENG,GK,24-342,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,1,15,0,0,0,Arsenal
14 Players,,,,,990,3,2,0,0,25,5,1,0,821,17,4,5,2.5,2.5,2.1,46,5,611,729,83.8,91,526,33,27,11,Arsenal
Carlos Alcaraz,26.0,ar ARG,FW,20-142,45,1,1,0,0,2,2,1,0,21,0,0,3,0.2,0.2,0.5,2,1,7,11,63.6,1,11,0,2,1,Southampton
Lyanco,4.0,br BRA,CB,26-079,45,0,0,0,0,0,0,0,0,18,1,0,2,0.0,0.0,0.0,0,0,3,8,37.5,1,6,0,0,0,Southampton
Theo Walcott,32.0,eng ENG,FW,34-036,76,1,0,0,0,2,2,0,0,21,1,0,0,0.5,0.5,0.0,1,0,9,12,75.0,0,13,1,3,2,Southampton
Kamaldeen Sulemana,20.0,gh GHA,RM,21-065,14,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,0,0,Southampton
Adam Armstrong,9.0,eng ENG,"LM,FW",26-070,76,0,0,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,5,0,1,1,Southampton
Paul Onuachu,12.0,ng NGA,FW,28-328,14,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,1,3,1,Southampton
Roméo Lavia,45.0,be BEL,CM,19-105,85,0,0,0,0,0,0,0,0,34,3,1,2,0.0,0.0,0.0,1,0,17,21,81.0,1,14,0,2,2,Southampton
Ibrahima Diallo,27.0,fr FRA,CM,24-044,5,0,0,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Southampton
James Ward-Prowse,8.0,eng ENG,CM,28-171,90,0,0,0,0,0,0,0,0,49,3,3,2,0.0,0.0,0.1,2,0,30,37,81.1,1,17,0,0,0,Southampton
Mohamed Elyounoussi,24.0,no NOR,"RM,CM,LM",28-260,90,0,0,0,0,1,1,0,0,36,3,4,3,0.1,0.1,0.0,2,1,13,20,65.0,2,12,0,3,3,Southampton
Romain Perraud,15.0,fr FRA,LB,25-211,90,0,0,0,0,0,0,1,0,38,3,1,1,0.0,0.0,0.1,1,0,13,23,56.5,1,16,3,4,1,Southampton
Armel Bella Kotchap,37.0,de GER,CB,21-131,90,0,1,0,0,1,0,0,0,47,2,2,2,0.1,0.1,0.5,1,1,23,30,76.7,1,26,1,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,27-009,40,0,0,0,0,1,0,0,0,12,1,3,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0,Southampton
