Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Steve Mounié,24.0,bj BEN,FW,24-063,31,0,0,0,0,1,0,0,1,10,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,1,6,0,0,0,Huddersfield Town
Alex Pritchard,21.0,eng ENG,FW,25-212,48,0,0,0,0,3,0,0,0,31,0,0,0,0.2,0.2,0.0,4,0,17,23,73.9,3,15,0,1,0,Huddersfield Town
Laurent Depoitre,20.0,be BEL,FW,29-359,42,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,4,0,0,0,Huddersfield Town
Philip Billing,8.0,dk DEN,"DM,CM",22-173,90,0,0,0,0,0,0,0,0,45,2,0,2,0.0,0.0,0.1,3,0,16,31,51.6,1,20,1,5,1,Huddersfield Town
Jonathan Hogg,6.0,eng ENG,"DM,CM",29-360,76,0,0,0,0,0,0,0,0,44,1,2,2,0.0,0.0,0.0,0,0,30,36,83.3,8,21,0,0,0,Huddersfield Town
Danny Williams,19.0,us USA,DM,29-268,14,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,2,1,1,1,Huddersfield Town
Aaron Mooy,10.0,au AUS,DM,28-077,62,0,0,0,0,1,1,0,0,29,2,1,1,0.1,0.1,0.1,2,0,17,22,77.3,3,14,0,0,0,Huddersfield Town
Tommy Smith,2.0,eng ENG,RB,26-231,28,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,3,1,0,0,Huddersfield Town
Erik Durm,37.0,de GER,"WB,LW,LB",26-203,90,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,0,0,9,22,40.9,0,13,2,1,0,Huddersfield Town
Florent Hadergjonaj,33.0,xk KVX,"WB,RW,CM",24-123,90,0,0,0,0,0,0,0,0,43,1,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,20,6,1,0,Huddersfield Town
Terence Kongolo,5.0,nl NED,"CB,LB",24-290,90,0,0,0,0,1,0,0,0,50,4,2,1,0.1,0.1,0.0,0,0,25,38,65.8,4,17,1,0,0,Huddersfield Town
Christopher Schindler,26.0,de GER,CB,28-216,90,0,0,0,0,0,0,0,0,25,0,5,1,0.0,0.0,0.0,0,0,12,15,80.0,1,6,0,0,0,Huddersfield Town
Mathias Jørgensen,25.0,dk DEN,CB,28-222,90,1,0,0,0,1,1,0,0,35,2,1,1,0.2,0.2,0.0,0,0,16,21,76.2,1,14,0,0,0,Huddersfield Town
Jonas Lössl,1.0,dk DEN,GK,29-303,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,12,35,34.3,0,13,0,0,0,Huddersfield Town
14 Players,,,,,931,1,0,0,0,7,2,0,1,409,13,13,8,0.6,0.6,0.2,9,0,198,305,64.9,23,168,12,9,2,Huddersfield Town
Florin Andone,10.0,ro ROU,FW,25-234,78,1,0,0,0,2,1,0,0,18,0,0,0,0.7,0.7,0.0,2,0,6,8,75.0,0,7,1,1,0,Brighton & Hove Albion
Glenn Murray,17.0,eng ENG,FW,35-067,12,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,9,33.3,0,7,0,0,0,Brighton & Hove Albion
José Izquierdo,19.0,co COL,LW,26-147,90,0,0,0,0,2,1,0,0,34,0,0,0,0.1,0.1,0.1,3,0,18,22,81.8,3,22,2,1,0,Brighton & Hove Albion
Solly March,20.0,eng ENG,RW,24-134,90,0,2,0,0,1,0,0,0,55,0,1,0,0.0,0.0,0.3,3,2,36,43,83.7,2,27,1,6,3,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,"LM,DM",22-093,89,0,0,0,0,5,1,0,0,66,4,1,0,0.2,0.2,0.1,5,0,42,51,82.4,4,47,2,3,2,Brighton & Hove Albion
Beram Kayal,7.0,il ISR,DM,30-213,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,"CM,DM",27-090,90,0,0,0,0,0,0,0,0,85,2,0,0,0.0,0.0,0.0,1,0,73,81,90.1,15,63,3,1,1,Brighton & Hove Albion
Pascal Groß,13.0,de GER,"RM,AM",27-169,90,0,0,0,0,1,1,0,0,98,4,1,1,0.1,0.1,0.1,5,0,62,86,72.1,12,61,2,0,0,Brighton & Hove Albion
Bernardo,30.0,br BRA,LB,23-201,90,0,0,0,0,0,0,0,0,80,3,4,0,0.0,0.0,0.0,1,0,54,67,80.6,9,42,4,0,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,27-010,90,0,0,0,0,0,0,0,0,96,0,0,1,0.0,0.0,0.0,1,0,81,90,90.0,7,59,3,0,0,Brighton & Hove Albion
Shane Duffy,4.0,ie IRL,CB,26-334,90,1,0,0,0,3,2,0,0,86,2,1,1,0.1,0.1,0.0,1,0,60,65,92.3,0,36,0,0,0,Brighton & Hove Albion
Bruno,2.0,es ESP,RB,38-061,77,0,0,0,0,0,0,1,0,54,0,0,0,0.0,0.0,0.1,3,2,44,52,84.6,3,35,1,0,0,Brighton & Hove Albion
Leon Balogun,14.0,ng NGA,RB,30-156,13,0,0,0,0,0,0,1,0,16,0,3,0,0.0,0.0,0.0,0,0,9,12,75.0,0,8,1,0,0,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,26-237,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,28,67.9,0,15,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,2,2,0,0,14,6,2,0,728,15,11,3,1.2,1.2,0.7,25,4,508,615,82.6,55,430,20,12,6,Brighton & Hove Albion
