Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,26-140,77,0,0,0,0,2,1,0,0,18,0,0,0,0.1,0.1,0.0,1,0,10,10,100.0,0,13,0,1,1,Aston Villa
Danny Ings,20.0,eng ENG,FW,29-300,13,0,0,0,0,2,1,0,0,4,0,0,0,0.4,0.4,0.0,0,0,1,2,50.0,0,3,0,0,0,Aston Villa
Carney Chukwuemeka,33.0,eng ENG,AM,18-211,56,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,0,0,22,24,91.7,1,19,1,0,0,Aston Villa
Bertrand Traoré,15.0,bf BFA,AM,26-255,34,0,0,0,0,2,1,0,0,22,1,0,0,0.1,0.1,0.0,1,0,11,16,68.8,1,15,2,0,0,Aston Villa
Emi Buendía,10.0,ar ARG,AM,25-145,90,1,0,0,0,4,1,0,0,67,2,0,0,0.3,0.3,0.4,7,0,45,52,86.5,8,50,2,0,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,LM,20-356,71,0,0,0,0,1,0,0,0,55,3,1,2,0.0,0.0,0.0,2,0,37,41,90.2,3,43,4,1,0,Aston Villa
Philippe Coutinho,23.0,br BRA,LM,29-341,19,0,0,0,0,2,1,0,0,34,0,0,0,0.0,0.0,0.0,6,0,30,32,93.8,9,29,6,0,0,Aston Villa
Douglas Luiz,6.0,br BRA,CM,24-010,90,0,0,0,0,0,0,0,0,126,0,2,0,0.0,0.0,0.1,9,1,106,120,88.3,5,91,5,1,0,Aston Villa
John McGinn,7.0,sct SCO,RM,27-213,90,0,1,0,0,3,3,0,0,63,3,0,4,0.1,0.1,0.2,5,1,40,52,76.9,11,50,1,0,0,Aston Villa
Lucas Digne,27.0,fr FRA,LB,28-303,90,0,0,0,0,1,0,0,0,79,1,0,0,0.0,0.0,0.4,5,0,59,73,80.8,1,55,5,1,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,29-067,90,0,0,0,0,0,0,0,0,81,0,0,2,0.0,0.0,0.0,1,0,62,69,89.9,4,61,0,0,0,Aston Villa
Calum Chambers,16.0,eng ENG,CB,27-119,90,0,0,0,0,1,0,0,0,87,4,0,0,0.1,0.1,0.1,4,0,71,79,89.9,6,66,1,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,24-285,90,0,0,0,0,4,1,0,0,68,0,0,2,0.3,0.3,0.0,2,0,44,56,78.6,1,46,3,1,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,29-259,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,20,20,100.0,0,15,0,0,0,Aston Villa
14 Players,,,,,990,1,1,0,0,22,9,0,0,754,16,3,10,1.5,1.5,1.2,43,2,558,646,86.4,50,556,30,5,1,Aston Villa
Maxwel Cornet,20.0,ci CIV,FW,25-234,84,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.1,2,1,11,20,55.0,1,14,2,2,0,Burnley
Matthew Lowton,2.0,eng ENG,RB,32-344,5,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Burnley
Ashley Barnes,10.0,eng ENG,FW,32-201,70,1,0,1,1,1,0,0,0,24,0,0,0,0.9,0.1,0.0,1,0,8,18,44.4,1,5,0,0,0,Burnley
Wout Weghorst,9.0,nl NED,FW,29-285,20,0,0,0,0,1,0,0,0,11,2,0,0,0.4,0.4,0.0,2,0,5,8,62.5,0,2,0,0,0,Burnley
Jack Cork,4.0,eng ENG,CM,32-328,90,0,0,0,0,1,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,15,17,88.2,3,8,0,1,0,Burnley
Josh Brownhill,8.0,eng ENG,CM,26-151,90,0,0,0,0,1,1,0,0,34,3,2,1,0.0,0.0,0.0,2,0,21,27,77.8,3,9,0,0,0,Burnley
Dwight McNeil,11.0,eng ENG,CM,22-178,78,0,0,0,0,1,0,0,0,29,1,0,1,0.1,0.1,0.0,3,1,17,23,73.9,2,13,2,0,0,Burnley
Aaron Lennon,17.0,eng ENG,"LM,CM",35-033,12,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Burnley
Charlie Taylor,3.0,eng ENG,LB,28-243,90,0,0,0,0,0,0,0,0,42,1,0,3,0.0,0.0,0.2,3,0,18,24,75.0,2,15,1,3,0,Burnley
