Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Yoane Wissa,11.0,cd COD,FW,28-053,90,2,0,0,0,4,3,0,0,27,1,1,0,1.4,1.4,0.0,1,0,13,15,86.7,2,12,1,0,0,Brentford
Keane Lewis-Potter,23.0,eng ENG,LW,23-247,80,0,0,0,0,2,0,0,0,28,2,0,0,0.3,0.3,0.2,5,2,17,19,89.5,3,23,5,7,3,Brentford
Fabio Carvalho,14.0,pt POR,LW,22-057,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,1,0,Brentford
Bryan Mbeumo,19.0,cm CMR,RW,25-080,90,2,0,1,1,3,2,0,0,55,0,0,0,0.9,0.1,0.3,4,1,31,47,66.0,10,40,1,2,1,Brentford
Mikkel Damsgaard,24.0,dk DEN,AM,24-115,76,0,1,0,0,2,1,0,0,43,0,0,1,0.3,0.3,0.7,6,1,27,35,77.1,8,28,2,0,0,Brentford
Kevin Schade,7.0,de GER,AM,22-334,14,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,0,3,0.0,0,3,0,1,1,Brentford
Vitaly Janelt,27.0,de GER,DM,26-169,90,0,1,0,0,0,0,0,0,61,2,1,3,0.0,0.0,0.5,4,1,37,48,77.1,3,34,1,2,0,Brentford
Christian Nørgaard,6.0,dk DEN,DM,30-230,77,0,0,0,0,3,0,0,0,50,1,1,0,0.3,0.3,0.0,1,0,28,35,80.0,2,25,0,1,0,Brentford
Mathias Jensen,8.0,dk DEN,DM,28-299,13,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,3,0,25,28,89.3,9,23,3,1,0,Brentford
Sepp van den Berg,4.0,nl NED,LB,22-311,90,0,0,0,0,2,2,0,0,65,0,1,0,0.2,0.2,0.0,2,0,41,55,74.5,2,29,0,0,0,Brentford
Ethan Pinnock,5.0,jm JAM,CB,31-150,90,0,0,0,0,0,0,0,0,112,0,0,0,0.0,0.0,0.4,3,0,88,103,85.4,3,63,0,0,0,Brentford
Nathan Collins,22.0,ie IRL,CB,23-179,90,0,0,0,0,2,0,0,0,103,1,0,2,0.5,0.5,0.0,3,2,83,92,90.2,13,61,2,1,0,Brentford
Mads Roerslev,30.0,dk DEN,RB,25-124,90,0,1,0,0,0,0,0,0,79,1,0,0,0.0,0.0,1.1,6,1,63,75,84.0,9,48,3,0,0,Brentford
Mark Flekken,1.0,nl NED,GK,31-135,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,44,53,83.0,0,36,0,0,0,Brentford
14 Players,,,,,990,4,3,1,1,19,8,0,0,718,8,4,7,4.1,3.3,3.2,38,8,499,612,81.5,64,427,18,16,5,Brentford
George Hirst,27.0,sct SCO,FW,25-254,72,1,1,0,0,1,1,0,0,24,0,0,0,0.3,0.3,0.2,3,1,9,15,60.0,4,15,2,1,0,Ipswich Town
Liam Delap,19.0,eng ENG,FW,21-261,18,1,0,0,0,2,1,0,0,6,0,0,0,0.2,0.2,0.0,0,0,0,1,0.0,0,4,1,0,0,Ipswich Town
Sammie Szmodics,23.0,ie IRL,LW,29-032,72,1,0,0,0,3,2,0,0,24,1,0,2,0.6,0.6,0.0,1,0,11,14,78.6,2,13,1,0,0,Ipswich Town
Jack Clarke,47.0,eng ENG,"LM,CM",23-338,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,1,1,Ipswich Town
Chiedozie Ogbene,21.0,ie IRL,RW,27-178,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,1,1,0,Ipswich Town
Wes Burns,7.0,wls WAL,"RW,RM,RB",29-338,56,0,0,0,0,1,0,0,0,23,3,2,0,0.1,0.1,0.0,0,0,8,13,61.5,0,14,4,1,0,Ipswich Town
Conor Chaplin,10.0,eng ENG,AM,27-253,72,0,1,0,0,0,0,0,0,30,1,2,1,0.0,0.0,0.3,2,1,17,25,68.0,2,11,1,0,0,Ipswich Town
Luke Woolfenden,6.0,eng ENG,"RB,CB",26-005,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Ipswich Town
Jens Cajuste,12.0,se SWE,"DM,CM",25-077,89,0,0,0,0,0,0,0,0,44,1,2,4,0.0,0.0,0.0,1,0,23,35,65.7,1,20,1,0,0,Ipswich Town
Conor Townsend,22.0,eng ENG,CM,31-236,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Ipswich Town
