Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Billy Sharp,10.0,eng ENG,FW,34-222,90,0,0,0,0,1,0,0,0,27,1,0,2,0.7,0.7,0.0,0,0,13,18,72.2,0,12,0,2,1,Sheffield United
Oliver McBurnie,9.0,sct SCO,FW,24-102,90,0,0,0,0,3,1,1,0,39,2,2,1,0.1,0.1,0.1,1,0,15,28,53.6,3,14,0,2,1,Sheffield United
John Fleck,4.0,sct SCO,"CM,LM",29-021,90,0,0,0,0,1,0,0,0,56,2,1,1,0.0,0.0,0.1,4,0,31,47,66.0,5,22,0,3,1,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,29-155,75,0,0,0,0,0,0,0,0,64,0,2,0,0.0,0.0,0.0,3,0,51,63,81.0,8,26,0,0,0,Sheffield United
Sander Berge,8.0,no NOR,CM,22-213,15,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.1,1,0,24,24,100.0,4,18,2,0,0,Sheffield United
John Lundstram,7.0,eng ENG,"CM,RM",26-209,90,0,0,0,0,0,0,0,0,66,1,0,1,0.0,0.0,0.1,4,0,43,61,70.5,7,37,2,0,0,Sheffield United
Enda Stevens,3.0,ie IRL,"WB,LB",30-067,90,0,0,0,0,1,0,0,0,74,3,1,2,0.1,0.1,0.0,1,0,55,62,88.7,8,36,1,3,2,Sheffield United
George Baldock,2.0,gr GRE,"WB,RB",27-189,90,0,0,0,0,1,0,0,0,57,0,1,0,0.0,0.0,0.7,1,0,45,53,84.9,6,28,0,1,0,Sheffield United
Jack O'Connell,5.0,eng ENG,CB,26-169,90,0,0,0,0,0,0,0,0,63,2,1,2,0.0,0.0,0.0,0,0,39,53,73.6,5,27,0,1,0,Sheffield United
John Egan,12.0,ie IRL,CB,27-330,90,0,0,0,0,1,0,1,0,57,1,0,0,0.0,0.0,0.0,0,0,33,48,68.8,6,34,0,0,0,Sheffield United
Chris Basham,6.0,eng ENG,CB,32-056,70,0,0,0,0,0,0,0,0,41,3,1,0,0.0,0.0,0.0,1,0,26,30,86.7,2,16,1,0,0,Sheffield United
David McGoldrick,17.0,ie IRL,AM,32-290,20,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,2,14,0,1,1,Sheffield United
Aaron Ramsdale,1.0,eng ENG,GK,22-123,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,24,58.3,0,12,0,0,0,Sheffield United
13 Players,,,,,990,0,0,0,0,9,1,2,0,620,16,9,9,1.0,1.0,1.0,16,0,405,533,76.0,56,296,6,13,6,Sheffield United
Daniel Podence,10.0,pt POR,"FW,AM",24-329,75,0,1,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.3,4,2,19,27,70.4,3,21,2,2,2,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,AM,23-185,15,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,7,8,87.5,1,4,0,0,0,Wolverhampton Wanderers
Pedro Neto,7.0,pt POR,LW,20-189,68,0,1,0,0,0,0,0,0,34,0,2,0,0.0,0.0,0.1,1,1,20,26,76.9,1,17,3,2,1,Wolverhampton Wanderers
Oskar Buur,59.0,dk DEN,WB,22-167,22,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,8,1,0,0,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,"RW,FW",29-132,90,1,0,0,0,5,2,0,0,60,0,1,0,1.0,1.0,0.0,3,1,33,42,78.6,3,38,5,3,1,Wolverhampton Wanderers
Fernando Marçal,5.0,br BRA,"LM,WB",31-208,90,0,0,0,0,0,0,1,0,51,0,2,2,0.0,0.0,0.0,1,0,31,39,79.5,0,25,1,3,2,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,34-006,85,0,0,0,0,0,0,0,0,55,2,1,0,0.0,0.0,0.2,4,0,40,49,81.6,1,28,0,1,0,Wolverhampton Wanderers
Vitinha,20.0,pt POR,CM,20-214,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,2,0,1,1,Wolverhampton Wanderers
