Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Stefano Okaka,33.0,it ITA,FW,28-255,69,0,0,0,0,1,0,0,0,30,2,0,0,0.0,0.0,0.1,4,0,12,21,57.1,2,22,2,2,1,Watford
Kiko Femenía,21.0,es ESP,"RM,RW",27-078,21,0,0,0,0,0,0,0,0,11,2,2,1,0.0,0.0,0.0,0,0,2,5,40.0,0,4,0,0,0,Watford
Troy Deeney,9.0,eng ENG,FW,29-296,90,0,0,0,0,3,1,0,0,46,2,0,0,0.1,0.1,0.1,4,0,19,37,51.4,4,15,0,0,0,Watford
Roberto Pereyra,37.0,ar ARG,LM,27-104,54,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.0,3,0,13,20,65.0,3,20,2,3,3,Watford
Richarlison,11.0,br BRA,"LM,LW",20-346,36,0,0,0,0,2,1,0,0,12,0,1,1,0.1,0.1,0.0,0,0,1,5,20.0,0,8,2,0,0,Watford
Étienne Capoue,29.0,fr FRA,CM,29-284,90,0,0,0,0,0,0,0,0,56,3,0,1,0.0,0.0,0.0,2,0,34,46,73.9,3,31,0,2,0,Watford
Abdoulaye Doucouré,16.0,ml MLI,CM,25-110,90,0,0,0,0,1,0,1,0,67,3,4,1,0.0,0.0,0.0,0,0,40,54,74.1,9,39,0,1,1,Watford
Will Hughes,19.0,eng ENG,"RM,CM",23-004,78,0,0,0,0,2,0,0,0,44,3,3,0,0.1,0.1,0.0,3,0,22,30,73.3,4,25,1,1,0,Watford
Andre Gray,18.0,jm JAM,FW,26-299,12,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,2,0,3,3,100.0,0,2,0,0,0,Watford
José Holebas,25.0,gr GRE,LB,33-298,90,0,0,0,0,0,0,0,0,67,2,0,0,0.0,0.0,0.1,1,0,30,59,50.8,2,26,3,2,1,Watford
Christian Kabasele,27.0,be BEL,CB,27-056,90,0,0,0,0,1,1,0,0,37,4,0,2,0.0,0.0,0.0,0,0,20,24,83.3,1,18,1,0,0,Watford
Craig Cathcart,15.0,nir NIR,CB,29-074,90,0,0,0,0,2,1,1,0,44,1,0,1,0.1,0.1,0.0,3,0,25,35,71.4,3,24,2,0,0,Watford
Adrian Mariappa,6.0,jm JAM,RB,31-200,90,0,0,0,0,1,0,1,0,54,3,1,1,0.0,0.0,0.0,1,0,25,43,58.1,5,19,1,1,0,Watford
Orestis Karnezis,30.0,gr GRE,GK,32-284,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,14,0,0,0,Watford
14 Players,,,,,990,0,0,0,0,14,4,3,0,520,25,12,8,0.6,0.6,0.3,23,0,263,405,64.9,36,267,14,12,6,Watford
Wilfried Zaha,11.0,ci CIV,"FW,LW",25-162,90,0,0,0,0,0,0,1,0,35,1,0,0,0.0,0.0,0.0,1,0,14,18,77.8,1,30,2,10,7,Crystal Palace
Andros Townsend,10.0,eng ENG,"FW,RW",26-279,90,0,0,0,0,0,0,0,0,35,1,0,2,0.0,0.0,0.1,2,0,16,24,66.7,2,24,3,1,0,Crystal Palace
Ruben Loftus-Cheek,8.0,eng ENG,LM,22-088,90,0,0,0,0,1,0,1,0,55,2,1,0,0.0,0.0,0.0,1,0,30,42,71.4,1,38,2,9,5,Crystal Palace
Yohan Cabaye,7.0,fr FRA,"CM,RM",32-097,90,0,0,0,0,1,0,0,0,54,3,1,3,0.0,0.0,0.0,3,0,31,40,77.5,3,24,0,1,1,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,27-014,90,0,0,0,0,1,0,0,0,58,1,2,0,0.1,0.1,0.0,3,0,38,48,79.2,4,32,1,1,1,Crystal Palace
James McArthur,18.0,sct SCO,RM,30-196,80,0,0,0,0,0,0,0,0,40,3,2,2,0.0,0.0,0.0,0,0,19,27,70.4,3,21,1,1,0,Crystal Palace
Christian Benteke,17.0,be BEL,FW,27-139,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LB,27-235,90,0,0,0,0,1,0,1,0,50,1,0,0,0.0,0.0,0.0,2,0,33,44,75.0,1,27,0,2,2,Crystal Palace
Mamadou Sakho,12.0,fr FRA,CB,28-067,90,0,0,0,0,0,0,0,0,50,2,2,1,0.0,0.0,0.0,0,0,32,37,86.5,2,18,0,0,0,Crystal Palace
James Tomkins,5.0,eng ENG,CB,29-023,90,0,0,0,0,2,1,1,0,52,2,1,1,0.1,0.1,0.0,0,0,15,26,57.7,3,13,0,1,1,Crystal Palace
Joel Ward,2.0,eng ENG,RB,28-174,90,0,0,0,0,0,0,1,0,45,0,2,0,0.0,0.0,0.0,0,0,19,31,61.3,4,16,0,0,0,Crystal Palace
Wayne Hennessey,13.0,wls WAL,GK,31-087,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,12,33,36.4,0,12,0,0,0,Crystal Palace
12 Players,,,,,990,0,0,0,0,6,1,5,0,515,16,11,9,0.3,0.3,0.1,12,0,261,373,70.0,24,258,9,26,17,Crystal Palace
