Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gonzalo Higuaín,9.0,ar ARG,FW,31-090,90,0,0,0,0,6,2,0,0,28,2,1,0,0.3,0.3,0.1,4,0,11,17,64.7,1,17,0,2,1,Chelsea
Eden Hazard,10.0,be BEL,"LW,AM",28-062,90,1,0,0,0,1,1,0,0,97,1,1,0,0.0,0.0,0.1,6,1,65,86,75.6,1,59,6,9,5,Chelsea
Pedro,11.0,es ESP,RW,31-225,60,0,0,0,0,1,1,0,0,52,1,0,1,0.0,0.0,0.2,3,0,38,45,84.4,3,37,1,3,2,Chelsea
Callum Hudson-Odoi,20.0,eng ENG,RW,18-123,30,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,1,0,15,23,65.2,0,17,1,2,1,Chelsea
Mateo Kovačić,17.0,hr CRO,LM,24-308,55,0,0,0,0,1,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,44,47,93.6,5,26,1,2,2,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,"DM,LM",23-046,35,0,0,0,0,2,1,0,0,36,0,0,0,0.2,0.2,0.1,6,0,21,25,84.0,1,17,1,4,4,Chelsea
Jorginho,5.0,it ITA,CM,27-080,71,0,0,0,0,0,0,0,0,107,3,0,2,0.0,0.0,0.0,2,0,86,101,85.1,16,49,3,1,1,Chelsea
Willian,22.0,br BRA,LW,30-213,19,0,1,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,5,1,19,26,73.1,2,17,2,3,0,Chelsea
N'Golo Kanté,7.0,fr FRA,"RM,DM",27-346,90,0,0,0,0,0,0,0,0,75,3,1,3,0.0,0.0,0.1,6,0,56,64,87.5,6,38,0,2,0,Chelsea
Emerson Palmieri,33.0,it ITA,LB,24-219,90,0,0,0,0,1,0,0,0,132,2,0,2,0.0,0.0,0.1,3,0,111,124,89.5,3,89,14,7,5,Chelsea
David Luiz,30.0,br BRA,CB,31-322,90,0,0,0,0,2,0,0,0,121,0,0,2,0.1,0.1,0.0,1,0,105,116,90.5,10,80,2,0,0,Chelsea
Antonio Rüdiger,2.0,de GER,CB,26-007,90,0,0,0,0,3,0,1,0,96,0,0,0,0.1,0.1,0.0,1,0,92,92,100.0,5,58,2,0,0,Chelsea
César Azpilicueta,28.0,es ESP,RB,29-194,90,0,0,0,0,3,0,0,0,112,2,0,1,0.1,0.1,0.0,2,0,93,103,90.3,4,70,3,1,0,Chelsea
Kepa Arrizabalaga,1.0,es ESP,GK,24-158,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,26,26,100.0,0,18,0,0,0,Chelsea
14 Players,,,,,990,1,1,0,0,22,6,1,0,992,14,5,12,1.1,1.1,0.7,40,2,782,895,87.4,57,592,36,36,21,Chelsea
Diogo Jota,18.0,pt POR,FW,22-096,81,0,1,0,0,0,0,1,0,29,2,2,0,0.0,0.0,0.5,2,2,16,20,80.0,2,18,2,3,1,Wolverhampton Wanderers
Morgan Gibbs-White,17.0,eng ENG,FW,19-042,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,2,1,0,0,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,FW,27-309,88,1,0,0,0,1,1,0,0,59,2,1,3,0.5,0.5,0.0,0,0,22,39,56.4,1,31,3,3,1,Wolverhampton Wanderers
