Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jean-Philippe Mateta,14.0,fr FRA,FW,27-134,90,0,0,0,0,6,1,0,0,24,0,0,0,0.8,0.8,0.0,1,0,9,12,75.0,1,13,1,1,0,Crystal Palace
Ismaila Sarr,7.0,sn SEN,AM,26-258,87,0,0,0,0,0,0,0,0,38,0,1,0,0.0,0.0,0.5,3,0,21,32,65.6,2,26,2,2,1,Crystal Palace
Asher Agbinone,64.0,eng ENG,AM,19-042,3,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,1,0,Crystal Palace
Daichi Kamada,18.0,jp JPN,"AM,CM",28-096,75,0,0,0,0,0,0,0,1,42,0,2,1,0.0,0.0,0.1,2,0,27,32,84.4,3,21,0,0,0,Crystal Palace
Marc Guéhi,6.0,eng ENG,"CB,CM",24-119,90,0,0,0,0,2,1,0,0,47,3,1,1,0.1,0.1,0.0,1,0,30,34,88.2,6,24,0,0,0,Crystal Palace
Justin Devenny,55.0,nir NIR,CM,21-029,73,0,0,0,0,1,0,0,0,33,3,0,0,0.1,0.1,0.2,4,0,20,26,76.9,2,12,2,1,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,CM,31-322,17,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,6,6,100.0,0,1,0,0,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,WB,25-069,90,0,0,0,0,0,0,0,0,50,3,0,2,0.0,0.0,0.1,4,0,32,39,82.1,0,25,2,1,1,Crystal Palace
Daniel Muñoz,12.0,co COL,"WB,AM",28-167,87,0,0,0,0,2,2,0,0,56,3,4,2,0.5,0.5,0.1,3,0,24,37,64.9,0,24,3,4,2,Crystal Palace
Caleb Kporha,58.0,eng ENG,WB,18-117,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,1,0,0,Crystal Palace
Nathaniel Clyne,17.0,eng ENG,"CB,WB",33-218,61,0,0,0,0,0,0,0,0,32,0,2,2,0.0,0.0,0.0,0,0,21,25,84.0,1,14,1,0,0,Crystal Palace
Cheick Doucouré,28.0,ml MLI,CM,24-306,29,0,0,0,0,1,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,1,0,Crystal Palace
Maxence Lacroix,5.0,fr FRA,CB,24-217,90,0,0,0,0,1,0,1,0,59,2,2,4,0.0,0.0,0.0,0,0,34,41,82.9,4,24,0,1,1,Crystal Palace
Trevoh Chalobah,27.0,eng ENG,CB,25-127,90,0,0,0,0,0,0,0,0,60,3,6,0,0.0,0.0,0.0,1,0,33,46,71.7,1,28,1,1,1,Crystal Palace
Dean Henderson,1.0,eng ENG,GK,27-242,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,20,36,55.6,0,21,0,0,0,Crystal Palace
15 Players,,,,,975,0,0,0,0,13,4,1,1,517,19,19,13,1.6,1.6,1.1,20,0,293,385,76.1,21,248,13,13,6,Crystal Palace
Raúl Jiménez,7.0,mx MEX,FW,33-188,74,0,1,0,0,2,0,0,0,40,1,1,0,0.1,0.1,0.2,4,1,19,28,67.9,5,28,1,3,2,Fulham
