Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Troy Deeney,9.0,eng ENG,FW,31-203,90,0,0,0,1,4,1,0,0,53,1,0,1,1.2,0.4,0.4,3,0,19,40,47.5,2,14,1,1,0,Watford
Gerard Deulofeu,7.0,es ESP,LW,25-311,90,0,0,0,0,3,0,0,0,55,7,2,0,0.2,0.2,0.0,4,0,28,37,75.7,6,35,3,9,6,Watford
Ismaila Sarr,23.0,sn SEN,RW,21-327,88,0,0,0,0,3,0,0,0,50,1,2,0,0.4,0.4,0.8,7,0,26,36,72.2,2,31,8,6,1,Watford
Ignacio Pussetto,33.0,ar ARG,RW,24-028,2,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,1,Watford
Abdoulaye Doucouré,16.0,ml MLI,"AM,DM",27-017,90,0,0,0,0,1,0,1,0,43,2,0,0,0.6,0.6,0.1,4,0,23,33,69.7,5,16,1,1,1,Watford
Étienne Capoue,29.0,fr FRA,DM,31-191,90,0,0,0,0,2,0,1,0,66,7,3,0,0.1,0.1,0.0,1,0,37,46,80.4,5,20,1,2,1,Watford
Nathaniel Chalobah,14.0,eng ENG,DM,25-037,78,0,0,0,0,1,0,0,0,41,3,1,0,0.1,0.1,0.3,3,0,21,33,63.6,5,16,0,0,0,Watford
Roberto Pereyra,37.0,ar ARG,AM,29-011,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,1,0,0,Watford
Adam Masina,11.0,ma MAR,LB,26-016,90,0,0,0,0,0,0,0,0,55,0,2,2,0.0,0.0,0.0,2,0,29,46,63.0,1,17,1,1,1,Watford
Craig Cathcart,15.0,nir NIR,CB,30-346,90,0,0,0,0,0,0,0,0,26,2,0,2,0.0,0.0,0.0,2,0,13,15,86.7,1,8,0,0,0,Watford
