Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Alexander Isak,14.0,se SWE,FW,23-193,79,0,0,0,0,3,1,0,0,26,2,0,0,0.4,0.4,0.3,6,0,12,17,70.6,3,15,2,2,1,Newcastle United
Callum Wilson,9.0,eng ENG,FW,31-034,11,1,0,0,0,1,1,0,0,4,0,0,0,0.5,0.5,0.0,0,0,1,2,50.0,1,3,0,1,0,Newcastle United
Allan Saint-Maximin,10.0,fr FRA,LW,26-021,67,0,1,0,0,1,1,0,0,33,0,0,0,0.1,0.1,1.2,7,1,18,25,72.0,1,28,8,5,2,Newcastle United
Joelinton,7.0,br BRA,LW,26-231,23,0,0,0,0,2,1,0,0,10,0,1,1,0.3,0.3,0.0,1,0,4,5,80.0,1,3,0,0,0,Newcastle United
Jacob Murphy,23.0,eng ENG,RW,28-037,67,0,0,0,0,1,0,0,0,34,0,1,1,0.0,0.0,0.3,4,0,18,26,69.2,8,28,5,1,1,Newcastle United
Anthony Gordon,8.0,eng ENG,RW,22-037,23,0,0,0,0,0,0,0,0,14,4,0,0,0.0,0.0,0.0,0,0,3,9,33.3,0,6,0,1,0,Newcastle United
Joe Willock,28.0,eng ENG,LM,23-225,83,1,0,0,0,6,2,0,0,36,2,1,1,1.7,1.7,0.0,2,0,21,24,87.5,1,26,3,4,3,Newcastle United
Elliot Anderson,32.0,eng ENG,LM,20-147,7,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.1,2,0,3,4,75.0,1,5,1,2,1,Newcastle United
Bruno Guimarães,39.0,br BRA,CM,25-137,90,0,0,0,0,1,0,0,0,51,4,1,0,0.0,0.0,0.2,4,1,38,42,90.5,3,34,3,3,3,Newcastle United
Sean Longstaff,36.0,eng ENG,RM,25-154,90,0,0,0,0,2,0,0,0,51,2,0,1,0.3,0.3,0.0,2,1,27,37,73.0,7,26,1,0,0,Newcastle United
