Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Aboubakar Kamara,47.0,mr MTN,FW,25-189,62,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,12,16,75.0,0,16,0,3,0,Fulham
Aleksandar Mitrović,9.0,rs SRB,FW,25-362,28,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,7,0,1,1,Fulham
Ivan Cavaleiro,17.0,pt POR,LW,26-330,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.1,4,0,25,34,73.5,2,28,2,2,0,Fulham
Neeskens Kebano,7.0,cd COD,RW,28-186,62,0,0,0,0,1,0,0,0,30,0,0,1,0.0,0.0,0.0,1,0,19,25,76.0,0,23,4,2,2,Fulham
Andre-Frank Zambo Anguissa,29.0,cm CMR,RW,24-301,28,0,0,0,0,0,0,0,0,23,2,0,1,0.0,0.0,0.0,1,0,16,17,94.1,2,16,0,3,2,Fulham
Josh Onomah,25.0,eng ENG,AM,23-138,74,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,0,0,19,24,79.2,3,17,0,1,1,Fulham
Bobby De Cordova-Reid,14.0,jm JAM,AM,27-223,16,0,0,0,0,1,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Fulham
Tom Cairney,10.0,sct SCO,DM,29-236,90,0,0,0,0,0,0,1,0,79,1,0,0,0.0,0.0,0.0,0,0,75,78,96.2,4,53,1,0,0,Fulham
Harrison Reed,21.0,eng ENG,DM,25-229,90,0,0,0,0,0,0,0,0,77,2,3,0,0.0,0.0,0.0,0,0,69,72,95.8,4,46,1,0,0,Fulham
Joe Bryan,23.0,eng ENG,LB,26-361,90,0,0,0,0,0,0,0,0,69,0,4,0,0.0,0.0,0.0,2,0,50,63,79.4,4,33,2,0,0,Fulham
Tim Ream,13.0,us USA,CB,32-343,90,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.0,0,0,64,67,95.5,3,42,0,0,0,Fulham
Michael Hector,3.0,jm JAM,CB,28-055,90,0,0,0,0,0,0,1,0,74,2,0,2,0.0,0.0,0.0,0,0,56,65,86.2,3,51,0,0,0,Fulham
Denis Odoi,4.0,gh GHA,RB,32-108,90,0,0,0,0,1,1,0,0,69,0,2,0,0.0,0.0,0.0,0,0,53,64,82.8,2,42,0,0,0,Fulham
Marek Rodák,12.0,sk SVK,GK,23-274,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,14,0,0,0,Fulham
14 Players,,,,,990,0,0,0,0,5,2,2,0,638,11,10,9,0.1,0.1,0.1,8,0,485,562,86.3,27,391,10,12,6,Fulham
Alexandre Lacazette,9.0,fr FRA,FW,29-107,86,1,0,0,0,2,1,0,0,27,2,1,1,0.9,0.9,0.1,2,0,14,17,82.4,1,12,1,1,1,Arsenal
Eddie Nketiah,30.0,eng ENG,FW,21-105,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Arsenal
Pierre-Emerick Aubameyang,14.0,ga GAB,LW,31-086,90,1,0,0,0,3,2,1,0,35,0,0,0,0.2,0.2,0.1,3,0,20,30,66.7,2,25,4,2,1,Arsenal
Willian,12.0,br BRA,RW,32-034,75,0,2,0,0,2,1,0,0,36,0,0,0,0.9,0.9,0.4,6,3,26,30,86.7,6,20,4,0,0,Arsenal
Nicolas Pépé,19.0,ci CIV,RW,25-106,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,8,10,80.0,1,9,0,1,0,Arsenal
Ainsley Maitland-Niles,15.0,eng ENG,LM,23-014,90,0,0,0,0,0,0,0,0,49,1,3,2,0.0,0.0,0.0,0,0,29,39,74.4,2,31,0,0,0,Arsenal
Granit Xhaka,34.0,ch SUI,CM,27-351,78,0,0,0,0,4,0,0,0,68,2,1,1,0.2,0.2,0.1,3,0,55,60,91.7,6,38,1,0,0,Arsenal
Dani Ceballos,8.0,es ESP,CM,24-036,12,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,15,19,78.9,2,11,1,1,1,Arsenal
Mohamed Elneny,25.0,eg EGY,CM,28-063,90,0,0,0,0,1,0,0,0,68,0,5,0,0.1,0.1,0.0,4,1,60,63,95.2,6,46,2,0,0,Arsenal
