Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Solanke,9.0,eng ENG,FW,26-177,90,0,0,0,1,2,1,0,0,33,0,0,1,0.9,0.1,0.2,6,0,13,18,72.2,1,11,0,0,0,Bournemouth
Marcus Tavernier,16.0,eng ENG,LW,24-353,61,0,0,0,0,0,0,0,0,66,2,0,1,0.0,0.0,0.1,9,0,50,61,82.0,9,53,7,2,1,Bournemouth
Luis Sinisterra,17.0,co COL,"LM,LW",24-266,29,0,0,0,0,2,0,0,0,29,1,0,0,0.1,0.1,0.2,6,0,15,23,65.2,4,21,8,4,3,Bournemouth
Antoine Semenyo,24.0,gh GHA,"RW,RM",24-062,90,0,0,0,0,6,2,0,0,46,1,0,1,0.4,0.4,0.0,1,0,24,33,72.7,5,34,2,1,0,Bournemouth
Justin Kluivert,19.0,nl NED,AM,24-309,61,0,0,0,0,2,1,0,0,27,0,0,1,0.2,0.2,0.0,2,0,13,19,68.4,1,15,4,0,0,Bournemouth
Enes Ünal,26.0,tr TUR,"FW,AM",26-304,29,1,0,0,0,3,2,0,0,11,0,0,0,0.4,0.4,0.0,0,0,6,8,75.0,1,6,0,0,0,Bournemouth
Lewis Cook,4.0,eng ENG,"DM,RB",27-035,90,0,0,0,0,1,0,0,0,80,1,0,1,0.0,0.0,0.2,6,0,55,70,78.6,13,44,4,0,0,Bournemouth
Ryan Christie,10.0,sct SCO,DM,29-016,73,0,1,0,0,4,1,0,0,73,1,1,0,0.2,0.2,0.6,7,1,48,61,78.7,10,52,4,1,0,Bournemouth
Philip Billing,29.0,dk DEN,CM,27-272,17,0,0,0,0,2,1,0,0,30,2,0,0,0.1,0.1,0.2,2,0,16,24,66.7,4,14,0,1,0,Bournemouth
Milos Kerkez,3.0,hu HUN,LB,20-123,45,0,0,0,0,1,1,1,0,58,1,1,0,0.1,0.1,0.0,3,0,44,55,80.0,5,48,5,1,1,Bournemouth
Dango Ouattara,11.0,bf BFA,LB,22-027,45,1,1,0,0,5,1,0,0,57,0,0,1,0.7,0.7,0.4,7,1,36,49,73.5,6,37,7,3,3,Bournemouth
Illia Zabarnyi,27.0,ua UKR,CB,21-190,90,0,0,0,0,1,1,0,0,95,1,0,1,0.2,0.2,0.0,4,0,74,85,87.1,15,68,7,0,0,Bournemouth
Chris Mepham,6.0,wls WAL,CB,26-125,90,0,0,0,0,0,0,1,0,99,3,1,1,0.0,0.0,0.0,4,1,80,93,86.0,13,59,3,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,32-315,73,0,0,0,0,1,0,1,0,63,0,1,1,0.0,0.0,0.1,1,0,46,56,82.1,6,38,1,2,0,Bournemouth
Alex Scott,14.0,eng ENG,CM,20-201,17,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.3,3,0,15,20,75.0,2,15,3,1,0,Bournemouth
Neto,1.0,br BRA,GK,34-234,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,18,0,0,0,Bournemouth
16 Players,,,,,990,2,2,0,1,31,11,3,0,811,13,4,9,3.3,2.6,2.3,61,3,552,693,79.7,95,533,55,16,8,Bournemouth
