Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Oliver McBurnie,9.0,sct SCO,FW,23-102,64,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.3,1,0,7,13,53.8,1,12,0,2,1,Sheffield United
Billy Sharp,10.0,eng ENG,FW,33-221,20,0,0,0,0,0,0,0,1,10,0,0,0,0.0,0.0,0.6,4,0,7,9,77.8,2,5,1,1,1,Sheffield United
David McGoldrick,17.0,ie IRL,"FW,AM",31-289,90,0,0,0,0,6,3,0,0,36,2,0,0,1.2,1.2,0.0,3,0,19,22,86.4,4,20,3,5,5,Sheffield United
John Fleck,4.0,sct SCO,"CM,LM",28-021,90,0,0,0,0,5,1,1,0,61,1,0,1,0.2,0.2,0.2,6,0,35,50,70.0,6,29,4,4,3,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,28-155,90,0,0,0,0,0,0,0,0,85,4,2,0,0.0,0.0,0.5,5,0,58,75,77.3,10,32,0,0,0,Sheffield United
John Lundstram,7.0,eng ENG,CM,25-208,71,0,0,0,0,0,0,0,0,51,2,0,2,0.0,0.0,0.1,3,0,33,44,75.0,4,24,2,1,1,Sheffield United
Lys Mousset,22.0,fr FRA,FW,23-218,19,0,0,0,0,2,0,0,0,10,1,0,0,0.1,0.1,0.0,0,0,2,5,40.0,1,4,1,0,0,Sheffield United
Enda Stevens,3.0,ie IRL,"WB,LB",29-067,90,0,0,0,0,1,0,0,0,62,0,0,0,0.0,0.0,0.1,4,0,40,56,71.4,4,24,3,2,2,Sheffield United
George Baldock,2.0,gr GRE,"WB,RB",26-189,90,0,0,0,0,0,0,0,0,65,5,2,0,0.0,0.0,0.1,4,0,34,48,70.8,5,24,0,1,0,Sheffield United
Jack O'Connell,5.0,eng ENG,CB,25-169,90,0,0,0,0,1,0,0,0,55,0,1,1,0.1,0.1,0.0,2,0,33,47,70.2,3,25,1,2,2,Sheffield United
John Egan,12.0,ie IRL,CB,26-329,90,0,0,0,0,0,0,0,0,53,0,4,1,0.0,0.0,0.0,1,0,32,40,80.0,2,17,0,1,1,Sheffield United
Chris Basham,6.0,eng ENG,"CB,RM",31-056,83,0,0,0,0,1,0,0,0,64,4,1,1,0.1,0.1,0.0,1,0,30,46,65.2,3,19,2,3,0,Sheffield United
Callum Robinson,11.0,ie IRL,"FW,RM",24-224,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Sheffield United
Dean Henderson,1.0,eng ENG,GK,22-186,90,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.0,0,0,13,29,44.8,0,19,0,0,0,Sheffield United
14 Players,,,,,984,0,0,0,0,17,4,1,1,609,21,10,8,1.8,1.8,1.7,34,0,345,486,71.0,45,255,17,22,16,Sheffield United
Che Adams,10.0,sct SCO,FW,23-063,89,0,0,0,0,4,2,0,0,28,0,0,0,0.4,0.4,0.3,0,0,13,19,68.4,1,16,3,1,1,Southampton
Shane Long,7.0,ie IRL,FW,32-235,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Southampton
Sofiane Boufal,19.0,ma MAR,AM,25-362,84,0,1,0,0,2,1,0,0,51,0,0,1,0.3,0.3,0.5,4,0,29,36,80.6,7,37,5,14,10,Southampton
Stuart Armstrong,17.0,sct SCO,AM,27-168,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,Southampton
James Ward-Prowse,16.0,eng ENG,"WB,AM",24-317,90,0,0,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.3,4,0,29,46,63.0,2,23,2,0,0,Southampton
Pierre Højbjerg,23.0,dk DEN,CM,24-040,90,0,0,0,0,0,0,0,0,85,2,2,2,0.0,0.0,0.2,5,0,50,72,69.4,6,44,2,2,2,Southampton
Oriol Romeu,14.0,es ESP,CM,27-355,90,0,0,0,0,0,0,0,0,78,2,0,2,0.0,0.0,0.0,2,0,60,69,87.0,5,34,2,0,0,Southampton
Moussa Djenepo,12.0,ml MLI,"AM,WB",21-091,73,1,0,0,0,2,2,0,0,38,2,1,2,0.5,0.5,0.2,6,2,15,18,83.3,0,22,4,8,6,Southampton
Danny Ings,9.0,eng ENG,AM,27-053,17,0,0,0,0,0,0,0,0,12,3,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,3,0,1,1,Southampton
Cédric Soares,2.0,pt POR,WB,28-014,90,0,0,0,0,1,0,0,0,63,4,2,1,0.3,0.3,0.0,0,0,34,45,75.6,2,19,0,0,0,Southampton
Jannik Vestergaard,4.0,dk DEN,CB,27-042,90,0,0,0,0,2,2,1,0,72,1,1,0,0.1,0.1,0.0,0,0,44,61,72.1,1,24,0,0,0,Southampton
Maya Yoshida,3.0,jp JPN,CB,31-021,90,0,0,0,0,0,0,0,0,63,1,1,2,0.0,0.0,0.0,0,0,47,55,85.5,0,34,0,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,23-155,90,0,0,0,0,0,0,0,0,66,2,1,1,0.0,0.0,0.0,1,0,38,52,73.1,4,31,0,0,0,Southampton
Angus Gunn,28.0,sct SCO,GK,23-235,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,16,0,0,0,Southampton
14 Players,,,,,990,1,1,0,0,11,7,1,0,646,18,9,12,1.6,1.6,1.5,22,2,385,515,74.8,29,306,18,26,20,Southampton
