Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Dieumerci Mbokani,18.0,cd COD,FW,31-004,90,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,Hull City
Markus Henriksen,22.0,no NOR,AM,24-124,87,0,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,Hull City
David Meyler,7.0,ie IRL,MF,27-181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
Sam Clucas,11.0,eng ENG,DM,26-062,90,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,Hull City
Ryan Mason,25.0,eng ENG,DM,25-166,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
Adama Diomande,20.0,no NOR,FW,26-286,45,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,Hull City
Jake Livermore,14.0,eng ENG,DM,27-012,90,0,0,0,0,2,1,0,0,0,1,0,1,1,2,0,0,0,Hull City
Robert Snodgrass,10.0,sct SCO,DM,29-080,90,0,0,0,0,3,2,0,0,0,1,0,5,1,1,0,0,0,Hull City
Josh Tymon,28.0,eng ENG,LB,17-188,89,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,Hull City
Andrew Robertson,3.0,sct SCO,"DF,MF",22-260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
Curtis Davies,6.0,sl SLE,CB,31-256,90,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,Hull City
Michael Dawson,21.0,eng ENG,CB,33-008,90,1,0,0,0,1,1,1,0,2,1,0,0,0,2,0,0,0,Hull City
Ahmed Elmohamady,27.0,eg EGY,RB,29-078,90,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,Hull City
David Marshall,23.0,sct SCO,GK,31-266,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
14 Players,,,,,990,1,1,0,0,10,4,3,0,7,11,1,17,9,12,0,0,0,Hull City
