Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,31-140,89,1,1,0,1,3,1,0,0,37,0,0,0,1.2,0.6,0.2,4,2,17,27,63.0,1,24,5,3,2,West Ham United
Ben Johnson,31.0,eng ENG,"RW,FW",21-203,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,1,1,West Ham United
Pablo Fornals,8.0,es ESP,"LW,AM",25-174,90,0,1,0,0,2,1,0,0,78,4,1,2,0.1,0.1,0.8,6,1,55,64,85.9,12,48,4,2,0,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,24-238,89,0,0,0,0,2,2,0,0,31,2,0,1,0.6,0.6,0.0,6,2,16,23,69.6,1,19,3,3,3,West Ham United
Andriy Yarmolenko,7.0,ua UKR,"RW,FW",31-296,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,West Ham United
Saïd Benrahma,22.0,dz ALG,AM,26-005,87,1,1,0,0,3,1,0,0,45,1,0,0,0.4,0.4,0.3,5,2,25,36,69.4,3,29,4,1,1,West Ham United
Ryan Fredericks,24.0,eng ENG,LW,28-309,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,West Ham United
Tomáš Souček,28.0,cz CZE,DM,26-169,90,1,0,0,0,4,1,0,0,55,5,1,1,0.9,0.2,0.0,1,0,33,39,84.6,2,22,3,1,1,West Ham United
Declan Rice,41.0,eng ENG,DM,22-213,90,0,0,0,0,0,0,0,0,55,1,2,2,0.0,0.0,0.1,4,0,50,51,98.0,9,34,3,3,3,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,31-243,90,1,0,0,0,2,1,0,0,96,4,1,2,0.1,0.1,0.1,2,0,69,81,85.2,7,53,2,1,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,33-084,90,0,0,0,0,0,0,0,0,56,2,1,0,0.0,0.0,0.0,0,0,49,50,98.0,0,38,0,0,0,West Ham United
Craig Dawson,15.0,eng ENG,CB,31-101,90,0,0,0,0,1,0,0,0,61,0,1,2,0.1,0.1,0.0,1,0,47,50,94.0,1,42,0,0,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,28-358,90,0,0,0,0,0,0,0,0,70,4,0,0,0.0,0.0,0.3,2,0,45,62,72.6,6,37,4,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-119,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,18,29,62.1,0,13,0,0,0,West Ham United
14 Players,,,,,990,4,3,0,1,17,7,0,0,627,23,7,10,3.3,2.0,1.8,31,7,431,522,82.6,42,365,29,15,11,West Ham United
