Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Tammy Abraham,10.0,eng ENG,FW,20-082,90,0,0,0,0,3,1,0,0,29,1,0,0,0.4,0.4,0.0,0,0,9,19,47.4,2,19,1,2,2,Swansea City
Nathan Dyer,12.0,eng ENG,LW,30-024,90,0,0,0,0,0,0,0,0,62,1,1,0,0.0,0.0,0.0,1,0,43,52,82.7,3,42,9,8,5,Swansea City
Luciano Narsingh,11.0,nl NED,RW,27-101,65,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.3,1,0,22,26,84.6,4,21,4,4,2,Swansea City
Jordan Ayew,18.0,gh GHA,RW,26-103,25,1,0,0,0,2,1,0,0,23,0,1,0,0.1,0.1,0.0,2,1,13,15,86.7,1,15,3,7,5,Swansea City
Tom Carroll,14.0,eng ENG,LM,25-209,90,0,1,0,0,1,0,0,0,75,1,1,1,0.0,0.0,0.1,3,1,53,68,77.9,8,31,1,1,1,Swansea City
Roque Mesa,51.0,es ESP,CM,28-199,88,0,0,0,0,1,0,1,0,80,4,1,1,0.0,0.0,0.0,0,0,63,73,86.3,7,35,2,2,1,Swansea City
Jay Fulton,56.0,sct SCO,CM,23-266,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,Swansea City
Sam Clucas,17.0,eng ENG,RM,27-089,90,0,0,0,0,0,0,0,0,48,0,1,3,0.0,0.0,0.0,1,0,32,40,80.0,3,22,1,1,1,Swansea City
Martin Olsson,16.0,se SWE,LB,29-220,90,0,0,0,0,0,0,0,0,97,2,0,0,0.0,0.0,0.0,0,0,69,91,75.8,10,50,9,2,1,Swansea City
Alfie Mawson,6.0,eng ENG,CB,23-338,90,0,0,0,0,0,0,0,0,86,2,0,0,0.0,0.0,0.0,0,0,71,77,92.2,3,43,1,1,1,Swansea City
Federico Fernández,33.0,ar ARG,CB,28-305,90,0,0,0,0,0,0,1,0,82,3,3,2,0.0,0.0,0.0,2,0,59,72,81.9,2,36,0,0,0,Swansea City
Kyle Naughton,26.0,eng ENG,RB,29-036,79,0,0,0,0,0,0,0,0,73,3,1,2,0.0,0.0,0.0,2,0,54,66,81.8,6,30,1,2,1,Swansea City
Àngel Rangel,22.0,es ESP,RB,35-056,11,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,11,12,91.7,1,3,0,0,0,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,32-249,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,14,0,0,0,Swansea City
14 Players,,,,,990,1,1,0,0,7,2,2,0,737,18,9,9,0.5,0.5,0.4,12,2,528,646,81.7,50,363,32,30,20,Swansea City
Wilfried Zaha,11.0,ci CIV,FW,25-043,90,0,0,0,0,3,1,1,0,41,0,0,1,0.2,0.2,0.1,8,1,17,22,77.3,6,37,10,14,8,Crystal Palace
Andros Townsend,10.0,eng ENG,"FW,RM",26-160,84,0,0,0,0,3,2,0,0,52,0,1,0,0.1,0.1,0.1,6,0,30,37,81.1,4,43,7,7,5,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LM,27-116,6,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Crystal Palace
Ruben Loftus-Cheek,8.0,eng ENG,"LM,RM",21-334,90,0,0,0,0,3,0,0,0,51,0,1,1,0.1,0.1,0.0,1,1,32,38,84.2,5,43,10,6,5,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,26-260,90,1,0,1,1,0,0,1,0,55,5,3,2,0.8,0.0,0.0,0,0,30,41,73.2,7,34,0,0,0,Crystal Palace
Yohan Cabaye,7.0,fr FRA,CM,31-343,75,0,0,0,0,0,0,0,0,62,4,4,4,0.0,0.0,0.1,3,0,42,47,89.4,5,36,1,0,0,Crystal Palace
Bakary Sako,26.0,ml MLI,"FW,CM",29-241,15,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,3,0,0,0,Crystal Palace
