Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Andy Carroll,9.0,eng ENG,FW,27-094,90,3,0,0,0,10,5,1,0,4,1,0,0,1,0,0,,,West Ham United
Dimitri Payet,27.0,fr FRA,FW,29-011,90,0,0,0,0,2,1,0,0,0,2,0,12,1,0,0,,,West Ham United
Manuel Lanzini,10.0,ar ARG,CM,23-054,90,0,0,0,0,2,0,0,0,0,1,2,1,2,1,0,,,West Ham United
Mark Noble,16.0,eng ENG,CM,28-337,90,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,CM,26-110,90,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-116,90,0,1,0,0,2,1,0,0,0,0,0,4,1,3,0,,,West Ham United
Michail Antonio,30.0,jm JAM,FW,26-012,90,0,1,0,0,1,0,1,0,2,2,0,7,2,3,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-322,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,West Ham United
Winston Reid,2.0,nz NZL,CB,27-281,90,0,0,0,0,1,0,0,0,2,1,0,0,2,2,0,,,West Ham United
James Tomkins,5.0,eng ENG,RB,27-011,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,West Ham United
Emmanuel Emenike,29.0,ng NGA,FW,28-335,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,West Ham United
Adrián,13.0,es ESP,GK,29-097,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
12 Players,,,,,990,3,2,0,0,19,7,2,0,11,8,2,26,15,19,0,,,West Ham United
Danny Welbeck,23.0,eng ENG,FW,25-135,81,0,1,0,0,1,0,0,0,1,2,0,1,2,0,0,,,Arsenal
Theo Walcott,14.0,eng ENG,"FW,MF",27-024,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Arsenal
Alex Iwobi,17.0,ng NGA,AM,19-342,90,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,,,Arsenal
Alexis Sánchez,7.0,cl CHI,AM,27-112,90,1,0,0,0,2,2,0,0,2,1,0,2,2,1,0,,,Arsenal
Mesut Özil,11.0,de GER,AM,27-177,90,1,0,0,0,1,1,0,0,0,1,1,4,0,0,0,,,Arsenal
Francis Coquelin,34.0,fr FRA,DM,24-332,60,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,,,Arsenal
Aaron Ramsey,16.0,wls WAL,MF,25-105,30,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,Arsenal
Mohamed Elneny,35.0,eg EGY,DM,23-273,67,0,0,0,0,1,0,0,0,2,0,0,2,3,1,0,,,Arsenal
Olivier Giroud,12.0,fr FRA,FW,29-192,23,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,,Arsenal
Nacho Monreal,18.0,es ESP,LB,30-043,90,0,0,0,0,3,2,0,0,0,0,0,4,1,4,0,,,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,30-212,90,1,0,0,0,1,1,0,0,1,3,0,0,1,3,0,,,Arsenal
Gabriel Paulista,5.0,br BRA,CB,25-135,90,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,,,Arsenal
Héctor Bellerín,24.0,es ESP,RB,21-021,90,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,Arsenal
David Ospina,13.0,co COL,GK,27-222,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Arsenal
14 Players,,,,,990,3,2,0,0,11,6,0,0,8,11,1,21,17,15,0,,,Arsenal
