Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,27-010,90,1,0,0,0,2,2,0,0,2,2,1,0,1,1,0,,,Chelsea
Pedro,11.0,es ESP,AM,28-081,82,0,0,0,0,2,0,0,0,4,4,0,1,3,3,0,,,Chelsea
Eden Hazard,10.0,be BEL,"FW,MF",24-283,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Chelsea
Willian,22.0,br BRA,AM,27-069,89,0,1,0,0,1,1,1,0,2,4,0,3,1,2,0,,,Chelsea
Loïc Rémy,18.0,fr FRA,FW,28-288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chelsea
Ruben Loftus-Cheek,14.0,eng ENG,DM,19-267,45,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,,,Chelsea
Nemanja Matić,21.0,rs SRB,MF,27-077,45,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,Chelsea
Cesc Fàbregas,4.0,es ESP,AM,28-166,90,0,0,0,0,1,0,0,0,3,1,0,3,1,4,0,,,Chelsea
Ramires,7.0,br BRA,DM,28-207,90,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,,,Chelsea
Baba Rahman,6.0,gh GHA,LB,21-107,90,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,,,Chelsea
John Terry,26.0,eng ENG,CB,34-314,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,Chelsea
Kurt Zouma,5.0,fr FRA,CB,20-355,90,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,Chelsea
César Azpilicueta,28.0,es ESP,RB,26-050,90,0,0,0,0,0,0,0,0,3,2,0,3,2,3,0,,,Chelsea
Asmir Begović,1.0,ba BIH,GK,28-119,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chelsea
14 Players,,,,,990,1,1,0,0,9,3,1,0,22,17,1,12,22,21,0,,,Chelsea
