Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Steven Fletcher,26.0,sct SCO,FW,28-191,84,1,0,0,0,3,1,0,0,4,1,1,0,2,1,0,,,Sunderland
Jack Rodwell,8.0,eng ENG,"DF,MF",24-206,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Sunderland
Fabio Borini,9.0,it ITA,AM,24-188,90,0,0,0,0,3,0,0,0,3,4,1,0,1,0,0,,,Sunderland
Jeremain Lens,17.0,nl NED,AM,27-313,56,1,0,0,0,3,1,2,1,2,2,0,1,3,0,0,,,Sunderland
Ola Toivonen,20.0,se SWE,AM,29-092,83,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,,Sunderland
Sebastian Larsson,7.0,se SWE,MF,30-119,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
Lee Cattermole,6.0,eng ENG,DM,27-196,90,0,0,0,0,0,0,1,0,0,0,0,1,2,5,0,,,Sunderland
Yann M'Vila,21.0,fr FRA,DM,25-096,89,0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,,,Sunderland
Jordi Gómez,14.0,es ESP,MF,30-132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
Billy Jones,2.0,eng ENG,LB,28-193,90,0,0,0,0,0,0,0,0,2,1,0,2,6,0,0,,,Sunderland
John O'Shea,16.0,ie IRL,CB,34-156,90,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,,,Sunderland
Sebastián Coates,22.0,uy URU,CB,24-361,90,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,,,Sunderland
DeAndre Yedlin,24.0,us USA,RB,22-086,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,Sunderland
Costel Pantilimon,1.0,ro ROU,GK,28-244,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
14 Players,,,,,956,2,1,0,0,12,3,4,1,14,9,2,8,22,12,0,,,Sunderland
