Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Dieumerci Mbokani,9.0,cd COD,FW,30-132,84,1,0,0,0,3,2,0,0,1,5,4,2,1,0,0,,,Norwich City
Cameron Jerome,10.0,eng ENG,FW,29-232,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
Steven Naismith,7.0,sct SCO,AM,29-201,80,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,,,Norwich City
Wes Hoolahan,14.0,ie IRL,MF,33-318,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,DM,24-079,90,0,1,0,0,2,1,0,0,1,1,0,10,0,0,0,,,Norwich City
Gary O'Neil,28.0,eng ENG,DM,32-320,90,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,,,Norwich City
Jonny Howson,8.0,eng ENG,DM,27-317,90,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,,,Norwich City
Matthew Jarvis,16.0,eng ENG,DM,29-316,74,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,"FW,MF",22-027,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,Norwich City
Martin Olsson,23.0,se SWE,LB,27-321,90,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,Norwich City
Timm Klose,15.0,ch SUI,CB,27-329,90,1,0,0,0,2,1,0,0,0,1,0,0,1,2,0,,,Norwich City
Ryan Bennett,24.0,eng ENG,CB,26-027,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,Norwich City
Andre Wisdom,3.0,eng ENG,RB,22-329,90,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,,,Norwich City
John Ruddy,1.0,eng ENG,GK,29-161,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
14 Players,,,,,990,3,3,0,0,13,6,0,0,6,10,4,32,10,6,0,,,Norwich City
Papiss Cissé,9.0,sn SEN,FW,30-304,90,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,,,Newcastle United
Moussa Sissoko,7.0,fr FRA,FW,26-230,90,0,0,0,0,0,0,0,0,2,1,0,6,2,0,0,,,Newcastle United
Andros Townsend,25.0,eng ENG,CM,24-261,90,0,1,0,0,2,1,0,0,0,0,0,7,0,0,0,,,Newcastle United
Georginio Wijnaldum,5.0,nl NED,LM,25-143,90,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,,Newcastle United
Cheick Tioté,24.0,ci CIV,CM,29-286,45,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,,,Newcastle United
Ayoze Pérez,17.0,es ESP,"FW,MF",22-248,45,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,Newcastle United
Jonjo Shelvey,12.0,eng ENG,RM,24-035,90,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,,,Newcastle United
Vurnon Anita,8.0,cw CUW,LB,26-364,61,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,,,Newcastle United
Aleksandar Mitrović,45.0,rs SRB,FW,21-199,29,2,0,1,1,6,3,0,0,0,1,0,0,0,0,0,,,Newcastle United
Chancel Mbemba,18.0,cd COD,CB,21-238,90,0,0,0,0,1,0,0,0,3,0,0,0,1,3,0,,,Newcastle United
Steven Taylor,27.0,eng ENG,CB,30-070,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,Newcastle United
Daryl Janmaat,22.0,nl NED,RB,26-255,90,0,0,0,0,0,0,0,0,1,0,1,7,1,1,0,,,Newcastle United
Karl Darlow,26.0,wls WAL,GK,25-177,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Newcastle United
13 Players,,,,,990,2,1,1,1,13,5,0,0,11,5,3,32,11,11,0,,,Newcastle United
