Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Aleksandar Mitrović,9.0,rs SRB,FW,23-344,90,2,0,0,0,4,3,0,0,39,0,1,1,0.5,0.5,0.1,3,1,25,27,92.6,2,16,2,0,0,Fulham
Luciano Vietto,19.0,ar ARG,"LW,RW",24-264,90,0,2,0,0,3,0,0,0,54,0,0,0,0.2,0.2,0.5,8,2,32,41,78.0,3,34,3,4,1,Fulham
André Schürrle,14.0,de GER,RW,27-293,88,1,0,0,0,11,5,1,0,54,2,0,0,0.4,0.4,0.1,5,0,25,35,71.4,5,33,7,6,2,Fulham
Ryan Sessegnon,3.0,eng ENG,"LW,RW",18-100,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,0,0,0,Fulham
Tom Cairney,10.0,sct SCO,LM,27-218,77,0,1,0,0,0,0,0,0,67,0,0,2,0.0,0.0,0.3,5,2,58,61,95.1,10,33,4,0,0,Fulham
Andre-Frank Zambo Anguissa,29.0,cm CMR,"RM,LM",22-283,13,0,0,0,0,2,2,0,0,17,1,0,0,0.1,0.1,0.0,2,0,13,13,100.0,3,8,2,0,0,Fulham
Kevin McDonald,6.0,sct SCO,CM,29-295,90,0,0,0,0,1,0,0,0,73,1,0,0,0.0,0.0,0.0,3,0,53,67,79.1,3,21,1,0,0,Fulham
Jean Seri,24.0,ci CIV,"RM,LM",27-038,90,1,0,0,0,1,1,0,0,99,1,1,1,0.0,0.0,0.1,9,2,85,95,89.5,8,36,1,1,1,Fulham
Joe Bryan,23.0,eng ENG,LB,24-343,71,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.1,2,0,30,41,73.2,3,24,3,0,0,Fulham
Calum Chambers,5.0,eng ENG,CB,23-218,19,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,4,0,0,0,Fulham
Maxime Le Marchand,20.0,fr FRA,"CB,LB",28-319,90,0,0,0,0,0,0,0,0,83,3,2,1,0.0,0.0,0.0,3,0,61,71,85.9,1,28,1,0,0,Fulham
Denis Odoi,4.0,gh GHA,CB,30-091,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.0,0,0,48,54,88.9,3,24,0,0,0,Fulham
Timothy Fosu-Mensah,21.0,nl NED,RB,20-236,90,0,0,0,0,2,1,0,0,57,0,0,0,0.1,0.1,0.0,3,0,40,51,78.4,3,20,3,2,0,Fulham
Marcus Bettinelli,1.0,eng ENG,GK,26-094,90,0,0,0,0,0,0,1,0,40,0,0,0,0.0,0.0,0.0,1,0,30,40,75.0,0,16,0,0,0,Fulham
14 Players,,,,,990,4,3,0,0,25,12,2,0,706,9,4,8,1.3,1.3,1.2,45,7,511,610,83.8,45,298,27,13,4,Fulham
