Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Romelu Lukaku,10.0,be BEL,FW,23-296,90,1,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,Everton
Tom Davies,26.0,eng ENG,AM,18-248,63,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,Everton
Kevin Mirallas,11.0,be BEL,"FW,MF",29-151,27,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,Everton
Ross Barkley,8.0,eng ENG,AM,23-090,90,0,1,0,0,1,1,0,0,0,1,1,6,1,0,0,0,0,Everton
Gareth Barry,18.0,eng ENG,DM,36-010,63,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,Everton
James McCarthy,16.0,ie IRL,MF,26-113,27,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,Everton
Morgan Schneiderlin,2.0,fr FRA,DM,27-117,90,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,Everton
Idrissa Gana Gueye,17.0,sn SEN,DM,27-160,80,0,0,0,0,0,0,1,0,2,1,0,2,0,5,0,0,0,Everton
Enner Valencia,19.0,ec ECU,"FW,MF",27-121,10,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Everton
Leighton Baines,3.0,eng ENG,LB,32-084,90,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,Everton
Ramiro Funes Mori,25.0,ar ARG,CB,26-000,90,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,Everton
Ashley Williams,5.0,wls WAL,CB,32-194,90,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,28-145,90,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,Everton
Joel Robles,1.0,es ESP,GK,26-261,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton
14 Players,,,,,990,2,2,0,0,8,4,2,0,14,9,4,14,16,18,0,0,0,Everton
