Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,34-087,90,2,0,2,2,5,3,0,0,1,1,1,0,1,0,0,0,0,Sunderland
Adnan Januzaj,44.0,be BEL,AM,21-332,78,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Sunderland
Wahbi Khazri,10.0,tn TUN,"FW,MF",25-329,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
Sebastian Larsson,7.0,se SWE,DM,31-210,90,0,0,0,0,1,0,1,0,1,0,0,3,2,1,0,0,0,Sunderland
Jack Rodwell,8.0,eng ENG,DM,25-297,64,0,0,0,0,2,2,1,0,2,0,1,0,2,2,0,0,0,Sunderland
Javier Manquillo,21.0,es ESP,DF,22-242,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sunderland
Didier Ibrahim Ndong,17.0,ga GAB,DM,22-199,90,0,0,0,0,0,0,0,0,3,1,0,0,5,6,0,1,0,Sunderland
Fabio Borini,9.0,it ITA,DM,25-279,90,0,0,0,0,2,0,0,0,1,3,0,1,1,2,0,0,0,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,26-126,90,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,Sunderland
Papy Djilobodji,5.0,sn SEN,CB,28-032,90,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Sunderland
John O'Shea,16.0,ie IRL,CB,35-247,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Sunderland
Donald Love,22.0,sct SCO,RB,22-031,90,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,Sunderland
Vito Mannone,1.0,it ITA,GK,28-306,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
13 Players,,,,,990,2,0,2,2,10,5,2,0,10,7,3,6,16,19,0,1,0,Sunderland
