Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Peter Crouch,25.0,eng ENG,FW,37-046,90,0,0,0,0,2,1,0,0,33,0,0,0,0.1,0.1,0.0,0,0,13,27,48.1,1,15,0,1,1,Stoke City
Ramadan Sobhi,32.0,eg EGY,LW,21-053,71,0,0,0,0,0,0,0,0,50,3,0,4,0.0,0.0,0.2,2,0,27,35,77.1,4,35,5,4,2,Stoke City
Eric Maxim Choupo-Moting,10.0,cm CMR,LW,28-359,7,1,0,0,0,1,1,0,0,1,0,0,0,0.4,0.4,0.0,0,0,0,0,,0,1,0,0,0,Stoke City
Jesé,11.0,es ESP,LW,25-019,12,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,6,0,2,2,Stoke City
Xherdan Shaqiri,22.0,ch SUI,RW,26-158,75,0,0,0,0,1,0,0,0,30,0,0,2,0.1,0.1,0.0,1,0,20,24,83.3,2,25,2,0,0,Stoke City
Saido Berahino,9.0,bi BDI,RW,24-225,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,5,0,0,0,Stoke City
Charlie Adam,16.0,sct SCO,LM,32-097,29,0,0,0,0,1,0,0,1,27,0,1,0,0.0,0.0,0.0,2,0,12,20,60.0,4,17,0,3,3,Stoke City
Joe Allen,4.0,wls WAL,CM,28-003,90,0,1,0,0,1,0,0,0,68,2,0,1,0.1,0.1,0.4,4,2,46,59,78.0,3,50,3,1,1,Stoke City
Badou Ndiaye,27.0,sn SEN,RM,27-141,90,0,0,0,0,2,1,0,0,34,3,0,1,0.0,0.0,0.0,1,0,22,25,88.0,1,25,0,0,0,Stoke City
Kostas Stafylidis,21.0,gr GRE,LB,24-105,90,0,0,0,0,0,0,0,0,47,3,0,1,0.0,0.0,0.0,1,0,30,40,75.0,5,23,1,0,0,Stoke City
Kurt Zouma,6.0,fr FRA,CB,23-141,90,0,0,0,0,0,0,0,0,40,2,3,0,0.0,0.0,0.0,1,0,23,27,85.2,1,21,1,1,0,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,30-164,90,0,0,0,0,0,0,1,0,35,2,4,2,0.0,0.0,0.0,0,0,15,22,68.2,2,11,1,0,0,Stoke City
Glen Johnson,8.0,eng ENG,RB,33-206,90,0,0,0,0,1,1,0,0,48,2,4,0,0.0,0.0,0.1,4,0,27,37,73.0,6,28,2,1,1,Stoke City
Jack Butland,1.0,eng ENG,GK,25-007,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,18,38,47.4,0,18,0,0,0,Stoke City
14 Players,,,,,929,1,1,0,0,9,4,1,1,470,19,12,11,0.8,0.8,0.7,16,2,259,363,71.3,30,280,15,13,10,Stoke City
Cenk Tosun,14.0,tr TUR,FW,26-283,90,2,0,0,0,3,3,0,0,30,1,0,1,1.0,1.0,0.1,3,0,14,20,70.0,0,19,2,0,0,Everton
Yannick Bolasie,7.0,cd COD,LW,28-297,89,0,0,0,0,4,1,0,0,32,0,0,0,0.4,0.4,0.2,2,0,8,22,36.4,1,24,5,2,2,Everton
Mason Holgate,30.0,jm JAM,CB,21-146,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Everton
Theo Walcott,11.0,eng ENG,RW,29-001,90,0,1,0,0,2,0,0,0,45,5,0,1,0.1,0.1,0.4,7,1,25,32,78.1,2,35,2,6,4,Everton
Tom Davies,26.0,eng ENG,AM,19-260,52,0,0,0,0,1,0,0,0,21,0,0,2,0.1,0.1,0.0,1,0,12,14,85.7,0,14,0,1,0,Everton
Dominic Calvert-Lewin,29.0,eng ENG,"AM,LM",21-001,38,0,1,0,0,2,1,0,0,19,0,0,0,1.2,1.2,0.6,2,1,9,10,90.0,1,12,2,2,2,Everton
