Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,34-068,90,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,Sunderland
Fabio Borini,9.0,it ITA,FW,25-260,81,0,0,0,0,2,0,1,0,3,4,0,0,0,0,0,0,0,Sunderland
Wahbi Khazri,10.0,tn TUN,"FW,MF",25-310,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunderland
Adnan Januzaj,44.0,be BEL,FW,21-313,90,0,0,0,0,2,1,0,0,3,0,0,3,1,2,0,0,0,Sunderland
Patrick van Aanholt,3.0,nl NED,LM,26-107,90,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,0,0,Sunderland
Jan Kirchhoff,27.0,de GER,CM,26-074,56,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,Sunderland
Sebastian Larsson,7.0,se SWE,MF,31-191,34,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,Sunderland
Jason Denayer,4.0,be BEL,CM,21-169,90,0,0,0,0,1,1,0,0,1,0,0,0,2,3,0,0,0,Sunderland
Billy Jones,2.0,eng ENG,RM,29-265,58,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Sunderland
Donald Love,22.0,sct SCO,"DF,MF",22-012,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Sunderland
Papy Djilobodji,5.0,sn SEN,CB,28-013,90,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,0,0,Sunderland
John O'Shea,16.0,ie IRL,CB,35-228,90,0,0,0,0,0,0,1,0,2,1,0,0,2,4,0,0,0,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-317,90,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,Sunderland
Jordan Pickford,13.0,eng ENG,GK,22-282,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
14 Players,,,,,990,0,0,0,0,8,3,3,0,15,9,1,13,9,20,0,0,0,Sunderland
Diego Costa,19.0,es ESP,FW,28-068,90,0,0,0,0,3,1,0,0,1,3,1,0,0,0,0,0,0,Chelsea
Pedro,11.0,es ESP,FW,29-139,75,0,0,0,0,2,0,1,0,2,1,2,3,1,0,0,0,0,Chelsea
Nemanja Matić,21.0,rs SRB,MF,28-135,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Willian,22.0,br BRA,FW,28-127,88,0,1,0,0,5,1,0,0,1,1,0,0,0,1,0,0,0,Chelsea
Nathaniel Chalobah,29.0,eng ENG,"DF,MF",22-002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,LM,25-352,90,0,0,0,0,1,0,0,0,1,1,0,7,2,1,0,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,CM,29-224,90,1,0,0,0,3,1,0,0,0,2,0,8,0,1,0,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,25-260,90,0,0,0,0,1,1,0,0,1,1,0,0,2,3,0,0,0,Chelsea
Victor Moses,15.0,ng NGA,RM,26-002,89,0,0,0,0,3,1,1,0,1,1,0,6,3,0,0,0,0,Chelsea
Branislav Ivanović,2.0,rs SRB,DF,32-296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Gary Cahill,24.0,eng ENG,CB,30-361,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,Chelsea
David Luiz,30.0,br BRA,CB,29-236,90,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,27-108,90,0,0,0,0,0,0,0,0,1,3,0,0,2,4,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,24-217,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
14 Players,,,,,990,1,1,0,0,19,6,2,0,10,14,3,24,13,12,0,0,0,Chelsea
