Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,25-361,90,0,0,0,0,1,0,0,0,39,0,2,1,0.1,0.1,0.0,1,0,24,32,75.0,2,23,1,2,1,Aston Villa
Danny Ings,20.0,eng ENG,FW,29-156,72,0,0,0,0,3,0,0,0,24,0,1,2,0.2,0.2,0.0,0,0,12,16,75.0,1,14,1,1,0,Aston Villa
Bertrand Traoré,15.0,bf BFA,"AM,FW",26-111,18,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,9,0,3,0,Aston Villa
Emi Buendía,10.0,ar ARG,AM,25-001,73,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,26,37,70.3,2,28,2,1,0,Aston Villa
Carney Chukwuemeka,33.0,eng ENG,"RW,AM",18-067,17,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,9,0,1,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,"LM,DM",20-212,90,0,0,0,0,0,0,0,0,62,4,2,0,0.0,0.0,0.0,2,0,49,53,92.5,12,44,7,1,0,Aston Villa
Douglas Luiz,6.0,br BRA,"CM,DM",23-231,90,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.1,1,0,53,61,86.9,1,43,0,3,3,Aston Villa
Morgan Sanson,8.0,fr FRA,RM,27-130,75,0,0,0,0,1,0,0,0,45,4,2,2,0.0,0.0,0.0,0,0,25,30,83.3,5,33,2,6,5,Aston Villa
Anwar El Ghazi,21.0,nl NED,LW,26-237,15,0,0,0,0,1,1,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,5,0,0,0,Aston Villa
Matt Targett,3.0,eng ENG,LB,26-099,90,0,0,0,0,0,0,0,0,51,2,3,2,0.0,0.0,0.1,4,0,28,40,70.0,4,24,0,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,28-288,90,0,0,0,0,0,0,1,0,62,0,0,0,0.0,0.0,0.0,0,0,49,56,87.5,2,43,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,24-064,90,0,0,0,0,0,0,1,0,56,4,0,2,0.0,0.0,0.0,0,0,40,42,95.2,2,38,1,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,24-141,90,0,0,0,0,1,0,0,0,72,1,2,1,0.1,0.1,0.2,3,0,44,60,73.3,5,44,5,1,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,29-115,90,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,1,0,31,33,93.9,0,23,0,0,0,Aston Villa
14 Players,,,,,990,0,0,0,0,8,1,3,0,592,17,12,11,0.4,0.4,0.4,12,0,400,482,83.0,38,380,19,19,9,Aston Villa
Christian Pulisic,10.0,us USA,"WB,FW",23-099,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.1,1,0,35,42,83.3,2,34,1,4,2,Chelsea
Callum Hudson-Odoi,20.0,eng ENG,AM,21-049,90,0,1,0,0,3,1,0,0,38,3,0,0,0.6,0.6,0.1,3,2,21,27,77.8,3,25,3,1,0,Chelsea
Mason Mount,19.0,eng ENG,AM,22-350,90,0,0,0,0,2,0,0,0,44,1,0,0,0.2,0.2,0.2,2,0,26,38,68.4,6,25,1,3,2,Chelsea
Jorginho,5.0,it ITA,CM,30-006,90,2,0,2,2,0,0,0,0,72,1,0,2,1.6,0.0,0.1,2,1,55,62,88.7,8,37,0,1,1,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,30-272,62,0,0,0,0,0,0,0,0,56,2,2,1,0.0,0.0,0.0,3,1,48,52,92.3,16,27,2,3,3,Chelsea
Mateo Kovačić,8.0,hr CRO,CM,27-234,28,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.4,2,0,16,19,84.2,4,11,2,1,1,Chelsea
