Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Diogo Jota,18.0,pt POR,FW,22-159,90,0,0,0,0,2,2,1,0,38,0,0,1,0.7,0.7,0.1,2,0,23,27,85.2,4,24,4,5,1,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,FW,28-007,90,0,0,0,0,3,0,0,0,45,1,2,1,0.4,0.4,0.4,1,0,16,32,50.0,2,24,2,2,2,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,32-246,83,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,1,0,32,39,82.1,4,26,1,0,0,Wolverhampton Wanderers
Morgan Gibbs-White,17.0,eng ENG,CM,19-105,7,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,22-060,90,0,0,0,0,0,0,0,0,65,5,1,1,0.0,0.0,0.0,0,0,46,53,86.8,6,38,0,0,0,Wolverhampton Wanderers
Leander Dendoncker,32.0,be BEL,CM,24-027,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,2,0,22,31,71.0,0,15,1,0,0,Wolverhampton Wanderers
Jonny Castro,19.0,es ESP,WB,25-070,83,0,0,0,0,1,0,0,0,63,1,2,1,0.1,0.1,0.0,1,0,42,50,84.0,1,29,3,2,1,Wolverhampton Wanderers
Rúben Vinagre,29.0,pt POR,WB,20-033,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,2,0,0,Wolverhampton Wanderers
Matt Doherty,2.0,ie IRL,WB,27-116,79,0,0,0,0,1,0,0,0,57,0,2,2,0.1,0.1,0.5,3,0,29,49,59.2,9,24,2,1,0,Wolverhampton Wanderers
Adama Traoré,37.0,es ESP,WB,23-107,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,1,0,0,0,Wolverhampton Wanderers
Willy Boly,15.0,ci CIV,CB,28-098,90,0,0,0,0,0,0,0,0,65,1,2,1,0.0,0.0,0.3,1,0,41,49,83.7,7,32,0,0,0,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,26-076,90,0,0,0,0,0,0,0,0,63,3,0,2,0.0,0.0,0.0,1,0,41,51,80.4,0,30,0,0,0,Wolverhampton Wanderers
Ryan Bennett,5.0,eng ENG,CB,29-067,90,0,0,0,0,0,0,1,0,44,0,0,2,0.0,0.0,0.0,1,0,24,35,68.6,2,17,0,0,0,Wolverhampton Wanderers
Rui Patrício,11.0,pt POR,GK,31-086,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,12,0,0,0,Wolverhampton Wanderers
14 Players,,,,,990,0,0,0,0,7,2,2,0,562,14,9,11,1.3,1.3,1.3,13,0,344,457,75.3,36,279,15,10,4,Wolverhampton Wanderers
