Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Raúl Jiménez,9.0,mx MEX,FW,30-281,90,0,0,0,0,3,2,0,0,39,0,0,1,0.1,0.1,0.2,3,0,17,22,77.3,1,24,1,5,0,Wolverhampton Wanderers
Daniel Podence,10.0,pt POR,"LW,LM",26-112,90,0,0,0,0,2,0,0,0,71,0,2,1,0.1,0.1,0.2,7,0,34,60,56.7,8,60,6,7,3,Wolverhampton Wanderers
Francisco Trincão,11.0,pt POR,RW,22-043,61,0,0,0,0,0,0,0,0,28,3,0,0,0.0,0.0,0.0,3,0,20,23,87.0,1,17,5,4,3,Wolverhampton Wanderers
Chiquinho,20.0,pt POR,"RW,RM",22-005,29,0,0,0,0,1,0,0,0,19,1,0,1,0.2,0.2,0.1,1,0,7,13,53.8,1,11,1,2,0,Wolverhampton Wanderers
Fernando Marçal,5.0,br BRA,LM,32-356,62,0,0,0,0,1,0,0,0,42,1,1,2,0.0,0.0,0.0,1,0,25,32,78.1,1,20,1,0,0,Wolverhampton Wanderers
Rayan Aït-Nouri,3.0,dz ALG,"LM,LB",20-249,28,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,1,0,9,14,64.3,2,4,1,1,0,Wolverhampton Wanderers
Leander Dendoncker,32.0,be BEL,CM,26-301,90,0,0,0,0,3,1,0,0,44,0,1,3,0.2,0.2,0.0,1,0,30,34,88.2,5,30,0,0,0,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,24-334,90,0,0,0,0,2,0,1,0,95,2,2,0,0.1,0.1,0.0,4,0,66,86,76.7,7,66,2,4,4,Wolverhampton Wanderers
Nélson Semedo,22.0,pt POR,"RM,RB",28-086,90,0,0,0,0,1,0,0,0,76,1,2,0,0.0,0.0,0.1,5,0,58,68,85.3,8,47,5,0,0,Wolverhampton Wanderers
Romain Saïss,27.0,ma MAR,CB,31-321,90,0,0,0,0,1,1,1,0,73,2,4,1,0.0,0.0,0.0,1,0,45,62,72.6,8,49,2,1,0,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,28-350,80,0,0,0,0,0,0,0,0,45,1,2,2,0.0,0.0,0.0,0,0,38,39,97.4,1,30,1,0,0,Wolverhampton Wanderers
Fábio Silva,17.0,pt POR,FW,19-206,10,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,2,0,4,7,57.1,1,5,0,0,0,Wolverhampton Wanderers
Max Kilman,23.0,eng ENG,CB,24-263,90,0,0,0,0,0,0,0,0,81,0,2,2,0.0,0.0,0.0,1,0,62,72,86.1,11,56,5,0,0,Wolverhampton Wanderers
José Sá,1.0,pt POR,GK,29-024,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,1,17,0,0,0,Wolverhampton Wanderers
14 Players,,,,,990,0,0,0,0,15,4,2,0,664,12,17,13,0.8,0.8,0.6,30,0,435,556,78.2,56,436,30,24,10,Wolverhampton Wanderers
