Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jordan Ayew,19.0,gh GHA,FW,24-099,90,1,0,0,0,2,1,1,0,2,0,0,7,2,2,0,,,Aston Villa
Scott Sinclair,9.0,eng ENG,FW,26-269,59,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,Aston Villa
Rudy Gestede,39.0,bj BEN,FW,27-070,31,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,,,Aston Villa
Jordan Veretout,17.0,fr FRA,FW,22-293,90,0,1,0,0,1,1,0,0,1,2,0,12,1,1,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,CM,26-084,90,0,0,0,0,1,0,0,0,1,1,0,1,3,6,0,,,Aston Villa
Carlos Sánchez,24.0,co COL,CM,29-316,90,0,0,0,0,2,1,0,0,2,1,0,0,2,7,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,CM,25-262,90,0,0,0,0,1,1,1,0,2,1,0,2,4,0,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,LB,24-120,90,0,0,0,0,1,1,1,0,3,0,0,2,3,4,0,,,Aston Villa
Joleon Lescott,16.0,eng ENG,CB,33-125,90,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,,,Aston Villa
Jores Okore,5.0,dk DEN,CB,23-130,90,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,,,Aston Villa
Alan Hutton,21.0,sct SCO,RB,31-019,90,0,0,0,0,0,0,0,0,1,2,0,7,1,1,0,,,Aston Villa
Brad Guzan,1.0,us USA,GK,31-101,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa
12 Players,,,,,990,1,1,0,0,10,7,3,0,14,9,0,32,21,30,0,,,Aston Villa
