Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Callum Wilson,13.0,eng ENG,FW,24-196,90,1,0,0,0,3,1,0,0,0,3,0,0,1,1,0,0,0,Bournemouth
Joshua King,17.0,no NOR,AM,24-239,73,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,Bournemouth
Max Gradel,10.0,ci CIV,"FW,MF",28-285,17,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,Bournemouth
Junior Stanislas,19.0,eng ENG,DM,26-289,73,0,0,0,0,4,3,0,0,0,0,0,5,1,0,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,"DF,MF",26-222,17,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,Bournemouth
Andrew Surman,6.0,eng ENG,DM,30-021,90,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,DM,26-257,90,0,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,0,Bournemouth
Jordon Ibe,33.0,eng ENG,DM,20-277,62,0,0,0,0,2,0,0,0,1,1,0,9,0,1,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,MF,24-253,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,30-003,90,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-144,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-207,90,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,25-134,90,0,1,0,0,0,0,1,0,2,1,0,5,1,2,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-203,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bournemouth
14 Players,,,,,990,1,1,0,0,12,5,1,0,11,11,1,27,14,13,0,0,0,Bournemouth
Saido Berahino,18.0,bi BDI,FW,23-037,62,0,0,0,0,4,1,0,0,1,2,1,0,1,0,0,0,0,West Bromwich Albion
Salomón Rondón,9.0,ve VEN,FW,26-360,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
Nacer Chadli,22.0,be BEL,AM,27-039,90,0,0,0,0,3,0,0,0,1,1,0,1,2,1,0,0,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,AM,25-181,90,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,West Bromwich Albion
Sam Field,47.0,eng ENG,AM,18-125,90,0,0,0,0,1,0,1,0,1,0,0,4,1,0,0,0,0,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,29-054,81,0,0,0,0,1,1,1,0,1,1,0,0,1,3,0,0,0,West Bromwich Albion
Jonathan Leko,45.0,eng ENG,"FW,MF",17-139,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,DM,32-222,71,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,West Bromwich Albion
Craig Gardner,8.0,eng ENG,MF,29-290,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,West Bromwich Albion
Brendan Galloway,20.0,zw ZIM,LB,20-177,90,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,28-251,90,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-280,90,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,26-127,90,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,33-160,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
14 Players,,,,,990,0,0,0,0,12,3,3,0,11,8,1,17,12,16,0,0,0,West Bromwich Albion
