Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Romelu Lukaku,10.0,be BEL,FW,23-267,90,4,0,0,0,5,4,0,0,0,1,3,2,0,0,0,0,0,Everton
Ademola Lookman,31.0,ng NGA,FW,19-107,70,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,Everton
Kevin Mirallas,11.0,be BEL,"FW,MF",29-122,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Everton
Ross Barkley,8.0,eng ENG,FW,23-061,90,1,1,0,0,2,1,0,0,1,1,0,3,5,3,0,0,0,Everton
Morgan Schneiderlin,2.0,fr FRA,CM,27-088,90,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,0,Everton
Gareth Barry,18.0,eng ENG,CM,35-347,79,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,Everton
Mason Holgate,30.0,jm JAM,DF,20-105,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton
James McCarthy,16.0,ie IRL,CM,26-084,60,1,1,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,Everton
Tom Davies,26.0,eng ENG,MF,18-219,30,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,Everton
Leighton Baines,3.0,eng ENG,LB,32-055,90,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,Everton
Ramiro Funes Mori,25.0,ar ARG,CB,25-336,90,0,1,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,Everton
Ashley Williams,5.0,wls WAL,CB,32-165,90,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,28-116,90,0,1,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,Everton
Joel Robles,1.0,es ESP,GK,26-232,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Everton
14 Players,,,,,990,6,4,0,0,15,10,3,0,14,5,4,8,19,17,0,0,0,Everton
