Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Álvaro Morata,9.0,es ESP,FW,25-033,90,0,0,0,0,3,0,0,0,39,0,0,1,0.1,0.1,0.0,4,1,21,32,65.6,4,19,2,2,2,Chelsea
Eden Hazard,10.0,be BEL,FW,26-322,90,0,1,0,0,1,1,0,0,56,1,0,0,0.0,0.0,0.1,5,1,37,44,84.1,7,31,3,12,10,Chelsea
Tiemoué Bakayoko,14.0,fr FRA,DM,23-100,76,0,0,0,0,1,0,0,0,42,1,2,1,0.1,0.1,0.0,1,0,26,34,76.5,2,25,0,0,0,Chelsea
Pedro,11.0,es ESP,"WB,DM",30-120,14,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,8,1,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,DM,26-241,90,0,0,0,0,0,0,0,0,82,3,2,2,0.0,0.0,0.0,1,0,58,70,82.9,5,47,1,3,3,Chelsea
Danny Drinkwater,6.0,eng ENG,DM,27-265,73,0,0,0,0,1,0,0,0,35,1,1,1,0.0,0.0,0.1,4,0,22,26,84.6,2,17,0,2,1,Chelsea
Cesc Fàbregas,4.0,es ESP,DM,30-205,17,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,18,25,72.0,4,17,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,WB,26-332,90,0,0,0,0,2,0,0,0,70,5,2,1,0.3,0.3,0.0,1,0,43,58,74.1,3,29,6,0,0,Chelsea
Davide Zappacosta,21.0,it ITA,WB,25-167,82,0,0,0,0,1,1,0,0,62,1,1,0,0.0,0.0,0.4,2,0,30,47,63.8,3,33,3,4,2,Chelsea
Willian,22.0,br BRA,DM,29-108,8,1,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,6,1,0,0,Chelsea
Gary Cahill,24.0,eng ENG,CB,31-341,90,0,0,0,0,1,0,0,0,54,1,2,2,0.0,0.0,0.0,1,0,35,42,83.3,2,26,0,0,0,Chelsea
Andreas Christensen,27.0,dk DEN,CB,21-229,90,0,0,0,0,0,0,0,0,60,1,1,3,0.0,0.0,0.0,1,0,47,49,95.9,1,34,1,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,28-089,90,0,0,0,0,0,0,0,0,94,8,2,2,0.0,0.0,0.0,0,0,67,76,88.2,7,49,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,25-198,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,14,0,0,0,Chelsea
14 Players,,,,,990,1,1,0,0,11,3,0,0,676,23,13,13,0.8,0.8,0.6,20,2,443,554,80.0,42,355,18,23,18,Chelsea
