Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Peter Crouch,25.0,eng ENG,FW,36-002,90,1,0,0,0,5,2,0,0,2,2,1,0,0,0,0,0,0,Stoke City
Marko Arnautović,10.0,at AUT,AM,27-288,88,0,1,0,0,2,2,0,0,1,0,0,2,0,2,0,0,0,Stoke City
Julien Ngoy,45.0,be BEL,"FW,MF",19-091,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
Ibrahim Afellay,14.0,nl NED,AM,30-305,90,0,0,0,0,2,0,0,0,1,0,0,4,0,2,0,0,0,Stoke City
Joe Allen,4.0,wls WAL,AM,26-324,66,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,Stoke City
Saido Berahino,9.0,bi BDI,"FW,MF",23-181,24,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,Stoke City
Charlie Adam,16.0,sct SCO,DM,31-053,90,0,0,0,0,2,1,0,0,5,2,0,10,1,1,0,0,0,Stoke City
Glenn Whelan,6.0,ie IRL,DM,33-019,90,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,Stoke City
Erik Pieters,3.0,nl NED,LB,28-178,90,0,0,0,0,0,0,0,0,2,2,0,2,3,4,0,0,0,Stoke City
Bruno Martins Indi,15.0,nl NED,CB,24-359,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,29-120,90,0,0,0,0,1,1,0,0,1,1,0,0,3,1,1,0,0,Stoke City
Phil Bardsley,2.0,sct SCO,RB,31-218,90,0,0,0,0,1,0,1,0,4,0,0,2,1,1,0,0,0,Stoke City
Lee Grant,33.0,eng ENG,GK,34-005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
13 Players,,,,,990,1,1,0,0,14,7,1,0,21,12,1,22,11,16,1,0,0,Stoke City
