Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Will Keane,19.0,ie IRL,FW,23-285,67,0,0,0,0,3,0,0,0,3,1,0,1,0,0,0,0,0,Hull City
Adama Diomande,20.0,no NOR,FW,26-251,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Hull City
Robert Snodgrass,10.0,sct SCO,LW,29-045,90,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,Hull City
Ryan Mason,25.0,eng ENG,AM,25-131,90,0,0,0,0,1,0,1,0,3,1,0,3,3,2,0,0,0,Hull City
Jake Livermore,14.0,eng ENG,AM,26-343,90,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,0,0,Hull City
David Meyler,7.0,ie IRL,RW,27-146,54,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Hull City
Abel Hernández,9.0,uy URU,FW,26-075,36,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,Hull City
Tom Huddlestone,8.0,eng ENG,DM,29-299,67,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,Hull City
Harry Maguire,5.0,eng ENG,DF,23-231,23,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,Hull City
Sam Clucas,11.0,eng ENG,LB,26-027,90,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,Hull City
Curtis Davies,6.0,sl SLE,CB,31-221,90,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,Hull City
Michael Dawson,21.0,eng ENG,CB,32-339,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Hull City
Ahmed Elmohamady,27.0,eg EGY,RB,29-043,90,0,0,0,0,0,0,0,0,1,0,0,6,2,5,0,0,0,Hull City
David Marshall,23.0,sct SCO,GK,31-231,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
14 Players,,,,,990,0,0,0,0,9,2,2,0,16,8,1,23,14,14,0,0,0,Hull City
