Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Sébastien Haller,22.0,ci CIV,FW,26-177,90,1,0,0,0,3,1,0,0,33,1,1,0,0.2,0.2,0.0,0,0,16,21,76.2,3,9,0,0,0,West Ham United
Pablo Fornals,18.0,es ESP,LW,24-298,45,0,0,0,0,1,0,0,0,20,0,3,0,0.1,0.1,0.0,1,0,14,15,93.3,1,13,0,0,0,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,27-305,45,0,0,0,0,0,0,0,0,45,0,0,1,0.0,0.0,0.1,3,1,34,37,91.9,5,30,1,2,0,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,23-362,79,0,0,0,0,2,1,0,0,34,0,1,0,0.1,0.1,0.0,1,0,14,22,63.6,1,19,4,2,0,West Ham United
Andriy Yarmolenko,7.0,ua UKR,RW,31-054,11,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,1,0,5,6,83.3,2,4,1,0,0,West Ham United
Saïd Benrahma,9.0,dz ALG,"AM,LW",25-128,87,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.0,0,0,18,26,69.2,2,26,2,5,4,West Ham United
Robert Snodgrass,11.0,sct SCO,LW,33-100,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,2,0,0,0,West Ham United
Tomáš Souček,28.0,cz CZE,DM,25-293,90,0,0,0,0,0,0,0,0,51,2,3,0,0.0,0.0,0.0,0,0,32,41,78.0,3,23,0,1,1,West Ham United
Declan Rice,41.0,eng ENG,DM,21-337,90,0,0,0,0,2,0,0,0,90,4,1,2,0.1,0.1,0.0,1,0,71,77,92.2,14,56,2,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,31-001,90,0,0,0,0,1,0,0,0,70,0,1,2,0.0,0.0,0.0,1,0,48,62,77.4,4,35,1,1,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,32-207,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.0,0,0,45,52,86.5,5,27,0,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,23-342,90,0,0,0,0,0,0,0,0,49,2,0,2,0.0,0.0,0.0,0,0,39,42,92.9,2,29,0,0,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,28-116,90,0,1,0,0,0,0,0,0,81,5,2,1,0.0,0.0,0.3,6,1,56,72,77.8,3,37,2,1,1,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,35-242,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,16,20,80.0,0,12,0,0,0,West Ham United
14 Players,,,,,990,1,1,0,0,9,2,0,0,614,19,13,10,0.4,0.4,0.4,15,2,410,495,82.8,46,322,13,12,6,West Ham United
