Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,28-226,61,0,1,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,Chelsea
Michy Batshuayi,23.0,be BEL,FW,23-231,29,2,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,Chelsea
Eden Hazard,10.0,be BEL,AM,26-134,70,1,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,Chelsea
Pedro,11.0,es ESP,"FW,MF",29-297,20,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Chelsea
Willian,22.0,br BRA,AM,28-285,90,1,0,0,0,5,1,0,0,0,2,0,6,0,0,0,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,DM,26-053,90,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,DM,30-017,90,0,1,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,DM,26-144,90,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,Chelsea
Victor Moses,15.0,ng NGA,DM,26-160,90,0,0,0,0,4,1,0,0,0,1,0,6,1,0,0,0,0,Chelsea
John Terry,26.0,eng ENG,CB,36-165,27,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Chelsea
Gary Cahill,24.0,eng ENG,DF,31-153,63,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Chelsea
David Luiz,30.0,br BRA,CB,30-029,90,0,0,0,0,2,0,0,0,3,1,0,0,2,3,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,27-266,90,0,0,0,0,1,0,0,0,1,0,0,3,4,1,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,25-010,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
14 Players,,,,,990,5,3,0,0,28,8,1,0,8,15,0,28,11,4,0,0,0,Chelsea
