Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Troy Deeney,9.0,eng ENG,FW,28-130,90,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,Watford
Odion Ighalo,24.0,ng NGA,FW,27-143,90,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,Watford
Roberto Pereyra,37.0,ar ARG,LM,25-304,85,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,Watford
Juan Zúñiga,18.0,co COL,"DF,MF",30-328,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Watford
Étienne Capoue,29.0,fr FRA,CM,28-118,90,0,0,0,0,3,3,0,0,1,2,0,1,1,1,0,0,0,Watford
Valon Behrami,11.0,ch SUI,CM,31-201,60,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,Watford
Ben Watson,23.0,eng ENG,MF,31-120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Watford
Nordin Amrabat,7.0,ma MAR,RM,29-220,90,0,1,0,0,2,1,0,0,2,2,0,8,1,1,0,0,0,Watford
José Holebas,25.0,gr GRE,LB,32-132,90,0,0,0,0,0,0,1,0,1,0,0,4,1,2,0,0,0,Watford
Miguel Britos,3.0,uy URU,CB,31-112,90,0,0,0,0,2,1,1,0,2,1,0,0,1,5,0,0,0,Watford
Younès Kaboul,4.0,fr FRA,CB,30-307,90,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,Watford
Daryl Janmaat,22.0,nl NED,RB,27-107,90,1,0,0,0,2,2,0,0,1,0,0,2,0,1,0,0,0,Watford
Heurelho Gomes,1.0,br BRA,GK,35-265,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watford
Costel Pantilimon,30.0,ro ROU,GK,29-279,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watford
14 Players,,,,,990,1,1,0,0,11,8,2,0,10,13,2,17,5,17,0,0,0,Watford
