Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,28-141,90,1,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,Chelsea
Eden Hazard,10.0,be BEL,FW,26-049,84,0,1,0,0,1,1,0,0,1,3,0,1,0,0,0,0,0,Chelsea
Willian,22.0,br BRA,"FW,MF",28-200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Pedro,11.0,es ESP,FW,29-212,75,1,1,0,0,3,1,0,0,1,1,0,1,0,1,0,0,0,Chelsea
Nemanja Matić,21.0,rs SRB,MF,28-208,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,LM,26-059,90,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,CM,29-297,90,1,1,0,0,5,2,0,0,0,0,0,7,1,1,0,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,25-333,90,0,0,0,0,2,0,0,0,4,0,0,2,5,2,0,0,0,Chelsea
Victor Moses,15.0,ng NGA,RM,26-075,84,0,0,0,0,1,0,0,0,1,2,1,4,3,1,0,0,0,Chelsea
Kurt Zouma,5.0,fr FRA,DF,22-121,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Chelsea
Gary Cahill,24.0,eng ENG,CB,31-068,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Chelsea
David Luiz,30.0,br BRA,CB,29-309,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,27-181,90,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,24-290,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
14 Players,,,,,990,3,3,0,0,16,5,1,0,11,11,1,20,12,6,0,0,0,Chelsea
