Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Gabriel Jesus,33.0,br BRA,FW,20-027,90,1,0,0,0,5,1,0,0,2,1,0,0,1,0,0,0,0,Manchester City
Sergio Agüero,10.0,ar ARG,FW,28-332,89,1,1,1,1,5,1,0,0,0,0,1,3,1,0,0,0,0,Manchester City
Nolito,9.0,es ESP,"FW,MF",30-197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,25-306,90,0,0,0,0,2,1,0,0,1,2,0,14,0,0,0,0,0,Manchester City
Aleix García,75.0,es ESP,DM,19-306,48,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,Manchester City
Leroy Sané,19.0,de GER,"FW,MF",21-109,42,0,0,0,0,0,0,1,0,0,3,0,6,0,0,0,1,0,Manchester City
Fernandinho,25.0,br BRA,DM,31-361,90,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,Manchester City
Gaël Clichy,22.0,fr FRA,DM,31-278,49,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,Manchester City
Raheem Sterling,7.0,eng ENG,"FW,MF",22-143,41,0,0,0,0,2,0,1,0,3,0,0,3,1,0,0,0,0,Manchester City
Jesús Navas,15.0,es ESP,DM,31-160,90,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,Manchester City
Aleksandar Kolarov,11.0,rs SRB,CB,31-171,90,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,Manchester City
Vincent Kompany,4.0,be BEL,CB,31-020,90,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,29-077,90,0,0,0,0,3,0,1,0,1,0,0,1,1,2,0,0,0,Manchester City
Willy Caballero,13.0,ar ARG,GK,35-214,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
14 Players,,,,,990,2,1,1,1,22,4,4,0,9,9,1,39,8,8,0,1,0,Manchester City
