Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Salomón Rondón,9.0,ve VEN,FW,29-238,90,1,0,0,0,5,2,0,0,36,1,0,0,1.2,1.2,0.0,4,1,19,24,79.2,3,17,2,0,0,Newcastle United
Christian Atsu,30.0,gh GHA,LM,27-122,65,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,1,1,11,11,100.0,1,8,2,0,0,Newcastle United
Yoshinori Mutō,13.0,jp JPN,"RM,LM",26-301,25,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,1,0,9,11,81.8,1,6,0,1,0,Newcastle United
Mohamed Diamé,10.0,sn SEN,CM,31-332,90,0,0,0,0,0,0,0,0,44,2,4,1,0.0,0.0,0.0,0,0,26,32,81.3,0,18,1,3,2,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,27-074,90,1,0,0,0,2,1,0,0,57,0,1,2,0.0,0.0,0.1,5,0,39,50,78.0,7,27,2,1,1,Newcastle United
Ayoze Pérez,17.0,es ESP,"RM,LM",25-287,90,1,0,0,0,2,1,0,0,34,1,0,2,0.7,0.7,0.3,2,0,15,20,75.0,3,18,3,1,0,Newcastle United
Matt Ritchie,11.0,sct SCO,"LB,RB",29-244,90,0,2,0,0,1,0,0,0,44,2,0,1,0.0,0.0,0.1,4,3,26,36,72.2,0,15,2,0,0,Newcastle United
Paul Dummett,3.0,wls WAL,"CB,RB",27-228,80,0,0,0,0,0,0,0,0,51,3,2,0,0.0,0.0,0.5,2,0,28,38,73.7,2,23,1,0,0,Newcastle United
Kenedy,15.0,br BRA,"LB,RB",23-093,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,0,7,2,2,1,Newcastle United
Jamaal Lascelles,6.0,eng ENG,CB,25-182,90,0,0,0,0,0,0,0,0,43,0,0,3,0.0,0.0,0.0,0,0,24,27,88.9,3,14,0,0,0,Newcastle United
Fabian Schär,5.0,ch SUI,CB,27-143,90,1,0,0,0,2,1,0,0,68,2,4,0,0.1,0.1,0.0,1,0,38,49,77.6,4,37,0,0,0,Newcastle United
Isaac Hayden,14.0,jm JAM,RB,24-051,68,0,0,0,0,0,0,0,0,35,1,0,2,0.0,0.0,0.0,1,0,20,30,66.7,0,12,0,0,0,Newcastle United
Federico Fernández,18.0,ar ARG,CB,30-080,22,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,1,10,0,0,0,Newcastle United
Martin Dúbravka,12.0,sk SVK,GK,30-117,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,29,38,76.3,0,17,0,0,0,Newcastle United
14 Players,,,,,990,4,2,0,0,13,6,0,0,509,15,12,11,2.1,2.1,1.0,22,5,306,391,78.3,25,229,15,8,4,Newcastle United
