Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Roberto Firmino,11.0,br BRA,FW,25-035,90,1,2,0,0,5,3,0,0,1,1,0,2,0,0,0,0,0,Liverpool
Philippe Coutinho,10.0,br BRA,FW,24-147,86,1,1,0,0,5,1,0,0,1,2,1,6,0,0,0,0,0,Liverpool
Ovie Ejaria,53.0,eng ENG,"FW,MF",18-354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
Sadio Mané,19.0,sn SEN,FW,24-210,62,2,0,0,0,3,3,0,0,3,2,0,1,0,1,0,0,0,Liverpool
Georginio Wijnaldum,5.0,nl NED,"FW,MF",25-361,28,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,Liverpool
Emre Can,23.0,de GER,CM,22-299,90,1,0,0,0,2,1,0,0,4,2,0,0,2,2,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,CM,26-142,90,0,0,0,0,1,0,0,0,1,0,0,1,3,1,0,0,0,Liverpool
Adam Lallana,20.0,eng ENG,CM,28-180,70,0,2,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,Liverpool
Daniel Sturridge,15.0,eng ENG,"FW,MF",27-066,20,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,Liverpool
James Milner,7.0,eng ENG,LB,30-307,90,0,0,0,0,4,3,0,0,0,1,0,5,3,0,0,0,0,Liverpool
Lucas Leiva,21.0,br BRA,CB,29-302,90,0,0,0,0,2,1,0,0,1,2,0,1,0,1,0,0,0,Liverpool
Joël Matip,32.0,cm CMR,CB,25-090,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,25-215,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Liverpool
Loris Karius,1.0,de GER,GK,23-137,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
14 Players,,,,,990,6,5,0,0,28,17,1,0,14,10,1,20,13,10,0,0,0,Liverpool
