Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Victor Anichebe,10.0,ng NGA,FW,27-249,87,0,0,0,0,5,1,0,0,1,3,2,2,0,1,0,,,West Bromwich Albion
Rickie Lambert,17.0,eng ENG,FW,33-315,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
James Morrison,7.0,sct SCO,AM,29-217,69,0,0,0,0,3,2,0,0,0,0,0,5,1,2,0,,,West Bromwich Albion
Saido Berahino,18.0,bi BDI,"FW,MF",22-146,21,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,,,West Bromwich Albion
Chris Brunt,11.0,nir NIR,DM,31-014,90,0,0,0,0,1,0,0,0,0,0,0,12,2,0,0,,,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,28-163,90,0,1,0,0,1,0,0,0,1,1,0,1,2,4,0,,,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,DM,31-330,90,1,0,0,0,5,1,0,0,0,0,0,2,3,3,0,,,West Bromwich Albion
Stéphane Sessègnon,29.0,bj BEN,AM,31-210,90,0,0,0,0,0,0,0,0,2,5,0,12,2,1,0,,,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,27-359,90,0,0,0,0,2,0,0,0,1,1,0,2,1,1,0,,,West Bromwich Albion
Jonas Olsson,3.0,se SWE,CB,32-293,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
Craig Gardner,8.0,eng ENG,MF,29-033,73,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,,,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-023,90,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,,,West Bromwich Albion
Craig Dawson,25.0,eng ENG,DM,25-236,90,0,0,0,0,2,0,0,0,0,0,0,4,2,1,0,,,West Bromwich Albion
Boaz Myhill,13.0,wls WAL,GK,33-049,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
14 Players,,,,,990,1,1,0,0,22,5,0,0,7,12,2,43,16,16,0,,,West Bromwich Albion
