Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,28-107,86,1,0,0,0,6,3,0,0,1,2,1,1,0,1,0,0,0,Chelsea
Michy Batshuayi,23.0,be BEL,FW,23-112,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chelsea
Eden Hazard,10.0,be BEL,FW,26-015,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,"FW,MF",29-263,20,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,Chelsea
Pedro,11.0,es ESP,FW,29-178,70,0,0,0,0,0,0,0,0,1,2,0,9,0,1,0,0,0,Chelsea
Willian,22.0,br BRA,"FW,MF",28-166,20,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,LM,26-025,90,0,0,0,0,1,1,0,0,0,0,0,8,1,1,0,0,0,Chelsea
Nemanja Matić,21.0,rs SRB,CM,28-174,90,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,25-299,90,0,0,0,0,0,0,1,0,2,1,0,1,2,2,0,0,0,Chelsea
Victor Moses,15.0,ng NGA,RM,26-041,90,0,1,0,0,0,0,0,0,0,2,0,8,2,2,0,0,0,Chelsea
Gary Cahill,24.0,eng ENG,CB,31-034,90,1,0,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,Chelsea
David Luiz,30.0,br BRA,CB,29-275,90,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,27-147,90,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,24-256,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
14 Players,,,,,990,2,2,0,0,9,5,1,0,12,9,1,33,9,13,0,0,0,Chelsea
Abel Hernández,9.0,uy URU,FW,26-167,74,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Hull City
Adama Diomande,20.0,no NOR,FW,26-343,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Hull City
Sam Clucas,11.0,eng ENG,AM,26-119,90,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,Hull City
Evandro Goebel,40.0,br BRA,AM,30-152,90,0,0,0,0,0,0,0,0,1,5,0,4,1,1,0,0,0,Hull City
Ryan Mason,25.0,eng ENG,DM,25-223,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hull City
David Meyler,7.0,ie IRL,MF,27-238,70,0,0,0,0,1,1,0,0,1,1,0,1,2,1,0,0,0,Hull City
Tom Huddlestone,8.0,eng ENG,DM,30-025,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
Andrew Robertson,3.0,sct SCO,DM,22-317,90,0,0,0,0,0,0,1,0,1,0,0,4,1,1,0,0,0,Hull City
Omar Elabdellaoui,14.0,no NOR,DM,25-048,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Hull City
Curtis Davies,6.0,sl SLE,CB,31-313,58,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,Hull City
Oumar Niasse,24.0,sn SEN,"FW,MF",26-279,32,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Hull City
Michael Dawson,21.0,eng ENG,CB,33-065,90,0,0,0,0,1,1,1,0,1,0,1,0,0,2,0,0,0,Hull City
Harry Maguire,5.0,eng ENG,CB,23-323,90,0,0,0,0,4,2,0,0,2,2,0,1,5,8,0,0,0,Hull City
Eldin Jakupović,16.0,ch SUI,GK,32-112,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
14 Players,,,,,990,0,0,0,0,9,5,3,0,10,12,1,16,11,18,0,0,0,Hull City
