Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Joshua King,17.0,no NOR,FW,25-020,90,2,0,0,0,4,3,0,0,1,1,0,2,1,0,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,FW,25-034,90,0,1,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,CM,27-003,45,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,Bournemouth
Jordon Ibe,33.0,eng ENG,"FW,MF",21-058,45,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,Bournemouth
Andrew Surman,6.0,eng ENG,CM,30-168,90,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,CM,27-038,90,1,0,0,0,8,3,1,0,0,3,0,0,3,1,0,0,0,Bournemouth
Marc Pugh,7.0,eng ENG,LM,29-308,82,0,0,0,0,1,0,0,0,0,1,0,4,1,1,0,0,0,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-358,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,RM,22-346,90,0,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,Bournemouth
Tyrone Mings,26.0,eng ENG,CB,23-328,90,0,0,0,0,0,0,0,0,2,1,0,1,4,1,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-291,90,0,0,0,0,2,1,0,0,0,0,0,1,1,3,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-354,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Bournemouth
Brad Smith,14.0,au AUS,"DF,MF",22-301,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-350,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
14 Players,,,,,990,3,2,0,0,18,8,1,0,4,13,0,19,19,10,0,0,0,Bournemouth
