Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Andre Gray,7.0,jm JAM,FW,25-223,54,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,Burnley
Robbie Brady,12.0,ie IRL,"DF,FW",25-021,36,0,0,0,0,2,1,0,0,1,2,0,4,1,1,0,0,0,Burnley
Ashley Barnes,10.0,eng ENG,FW,27-097,90,1,0,1,1,3,3,0,0,1,5,2,0,2,0,0,0,0,Burnley
Scott Arfield,37.0,ca CAN,LM,28-095,76,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,0,0,Burnley
Ashley Westwood,18.0,eng ENG,MF,26-309,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,CM,25-004,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Burnley
Joey Barton,19.0,eng ENG,CM,34-155,90,0,0,0,0,2,1,0,0,2,1,0,0,3,2,0,0,0,Burnley
George Boyd,21.0,sct SCO,RM,31-125,85,0,0,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,Burnley
Sam Vokes,9.0,wls WAL,FW,27-106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
Stephen Ward,23.0,ie IRL,LB,31-168,90,0,0,0,0,0,0,0,0,2,1,0,2,2,1,0,0,0,Burnley
Ben Mee,6.0,eng ENG,CB,27-136,90,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,Burnley
Michael Keane,5.0,eng ENG,CB,24-024,90,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,Burnley
Matthew Lowton,2.0,eng ENG,RB,27-240,90,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,Burnley
Tom Heaton,1.0,eng ENG,GK,30-295,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
14 Players,,,,,905,1,0,1,1,11,7,0,1,10,10,4,13,16,16,0,0,0,Burnley
