Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Karlan Grant,29.0,eng ENG,FW,23-038,83,1,0,0,0,1,1,0,0,18,0,0,0,0.1,0.1,0.0,1,0,8,10,80.0,0,7,0,0,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,"RM,FW",29-227,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,4,0,1,0,West Bromwich Albion
Grady Diangana,11.0,cd COD,LM,22-190,62,0,0,0,0,0,0,0,0,40,2,0,3,0.0,0.0,0.0,2,0,21,26,80.8,2,23,1,4,1,West Bromwich Albion
Kyle Edwards,21.0,eng ENG,LM,22-252,28,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,9,10,90.0,2,6,2,1,1,West Bromwich Albion
Filip Krovinović,17.0,hr CRO,"CM,DM",25-058,90,0,0,0,0,2,2,0,0,75,3,2,0,0.1,0.1,0.0,2,0,58,68,85.3,8,26,2,0,0,West Bromwich Albion
Conor Gallagher,18.0,eng ENG,CM,20-263,90,0,0,0,0,1,0,0,0,56,4,3,0,0.0,0.0,0.0,1,0,33,40,82.5,2,28,2,2,1,West Bromwich Albion
Matheus Pereira,12.0,br BRA,"RM,CM",24-174,90,0,0,0,0,3,0,0,0,64,0,2,0,0.1,0.1,0.0,4,0,40,51,78.4,10,38,1,3,1,West Bromwich Albion
Jake Livermore,8.0,eng ENG,DM,30-347,62,0,0,0,0,0,0,0,0,43,3,0,0,0.0,0.0,0.0,0,0,28,36,77.8,4,21,0,0,0,West Bromwich Albion
Callum Robinson,7.0,ie IRL,"RM,FW",25-267,28,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,2,0,15,20,75.0,1,11,3,1,0,West Bromwich Albion
Conor Townsend,14.0,eng ENG,LB,27-236,90,0,0,0,0,0,0,0,0,96,3,1,0,0.0,0.0,0.1,3,0,72,86,83.7,5,46,2,2,0,West Bromwich Albion
Semi Ajayi,6.0,ng NGA,CB,26-352,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,0,0,43,50,86.0,0,26,0,0,0,West Bromwich Albion
Branislav Ivanović,20.0,rs SRB,CB,36-247,90,0,0,0,0,0,0,0,0,53,3,1,2,0.0,0.0,0.0,0,0,39,43,90.7,0,22,0,0,0,West Bromwich Albion
Darnell Furlong,2.0,eng ENG,RB,24-361,90,0,0,0,0,2,0,0,0,60,1,2,0,0.1,0.1,0.0,0,0,31,45,68.9,4,26,1,1,1,West Bromwich Albion
Sam Johnstone,1.0,eng ENG,GK,27-215,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,35,77.1,0,23,0,0,0,West Bromwich Albion
14 Players,,,,,990,1,0,0,0,9,3,0,0,644,22,12,6,0.4,0.4,0.2,16,0,425,524,81.1,38,307,14,15,5,West Bromwich Albion
