Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Teemu Pukki,22.0,fi FIN,FW,31-187,79,0,0,0,0,1,0,0,0,25,1,1,2,0.1,0.1,0.0,3,0,11,14,78.6,1,14,1,1,0,Norwich City
Milot Rashica,17.0,xk KVX,FW,25-096,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,1,0,0,Norwich City
Josh Sargent,24.0,us USA,FW,21-224,89,0,0,0,0,1,0,0,0,29,1,1,1,0.0,0.0,0.2,3,0,9,16,56.3,0,18,2,1,0,Norwich City
Adam Idah,35.0,ie IRL,FW,20-233,1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0,Norwich City
Kenny McLean,23.0,sct SCO,CM,29-267,90,0,0,0,0,0,0,0,0,47,1,0,2,0.0,0.0,0.0,2,0,25,39,64.1,6,30,1,2,1,Norwich City
Mathias Normann,16.0,no NOR,CM,25-127,90,0,0,0,0,2,1,1,0,67,2,0,3,0.3,0.3,0.0,3,0,32,47,68.1,4,33,3,3,2,Norwich City
Pierre Lees-Melou,20.0,fr FRA,CM,28-130,79,0,0,0,0,2,1,0,0,31,3,0,2,0.1,0.1,0.0,1,0,17,23,73.9,3,17,1,0,0,Norwich City
Lukas Rupp,7.0,de GER,CM,30-267,11,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,6,6,100.0,1,3,0,0,0,Norwich City
Dimitris Giannoulis,30.0,gr GRE,LB,25-350,90,0,0,0,0,1,0,0,0,72,3,0,4,0.0,0.0,0.0,1,0,37,52,71.2,3,38,4,8,5,Norwich City
Ben Gibson,4.0,eng ENG,CB,28-260,90,0,0,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.0,0,0,38,47,80.9,0,30,0,0,0,Norwich City
Grant Hanley,5.0,sct SCO,CB,29-316,90,0,0,0,0,1,0,0,0,50,1,5,1,0.0,0.0,0.0,0,0,21,26,80.8,0,17,0,0,0,Norwich City
Ozan Kabak,15.0,tr TUR,CB,21-191,90,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,2,0,25,33,75.8,1,18,1,3,3,Norwich City
Max Aarons,2.0,eng ENG,RB,21-271,90,0,0,0,0,2,0,1,0,53,1,0,0,0.1,0.1,0.0,1,0,26,39,66.7,4,31,2,3,1,Norwich City
Tim Krul,1.0,nl NED,GK,33-182,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,32,50,64.0,0,25,0,0,0,Norwich City
14 Players,,,,,990,0,0,0,0,10,2,2,0,541,16,7,18,0.6,0.6,0.3,16,0,283,400,70.8,23,280,16,22,12,Norwich City
