Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Laurent Depoitre,20.0,be BEL,FW,29-303,58,0,0,0,0,2,0,1,0,12,0,0,0,0.3,0.3,0.1,2,0,6,6,100.0,0,6,1,1,0,Huddersfield Town
Isaac Mbenza,18.0,be BEL,LW,22-212,32,0,0,0,0,1,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,10,14,71.4,1,6,0,1,0,Huddersfield Town
Rajiv van La Parra,17.0,nl NED,LW,27-124,58,0,0,0,0,2,0,0,0,30,1,1,0,0.1,0.1,0.0,4,0,20,22,90.9,2,17,3,3,2,Huddersfield Town
Steve Mounié,24.0,bj BEN,FW,24-007,32,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,3,1,0,0,Huddersfield Town
Aaron Mooy,10.0,au AUS,RW,28-021,90,0,0,0,0,3,1,0,0,70,0,0,1,0.1,0.1,0.4,10,0,46,62,74.2,7,36,4,2,1,Huddersfield Town
Alex Pritchard,21.0,eng ENG,AM,25-156,90,0,0,0,0,2,0,0,0,56,0,1,1,0.1,0.1,0.1,3,0,29,46,63.0,3,37,5,2,0,Huddersfield Town
Jonathan Hogg,6.0,eng ENG,DM,29-304,90,0,0,0,0,2,0,0,0,89,0,3,0,0.1,0.1,0.0,2,0,77,81,95.1,5,56,1,0,0,Huddersfield Town
Philip Billing,8.0,dk DEN,DM,22-117,90,0,0,0,0,3,0,0,0,84,1,1,3,0.1,0.1,0.0,6,1,61,72,84.7,6,42,3,1,1,Huddersfield Town
Chris Löwe,15.0,de GER,LB,29-173,85,0,1,0,0,0,0,0,0,90,4,0,2,0.0,0.0,0.2,4,1,56,84,66.7,5,41,2,0,0,Huddersfield Town
Florent Hadergjonaj,33.0,xk KVX,RB,24-067,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,7,0,0,0,Huddersfield Town
Christopher Schindler,26.0,de GER,CB,28-160,90,1,0,0,0,2,1,0,0,91,1,0,1,0.1,0.1,0.0,0,0,68,83,81.9,1,51,0,0,0,Huddersfield Town
Mathias Jørgensen,25.0,dk DEN,CB,28-166,90,0,0,0,0,0,0,1,0,73,0,1,1,0.0,0.0,0.0,1,0,56,71,78.9,9,45,1,0,0,Huddersfield Town
Erik Durm,37.0,de GER,"RB,LB",26-147,90,0,0,0,0,2,0,0,0,68,1,2,1,0.1,0.1,0.0,1,0,31,54,57.4,0,33,2,0,0,Huddersfield Town
Jonas Lössl,1.0,dk DEN,GK,29-247,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,34,41,82.9,0,27,0,0,0,Huddersfield Town
14 Players,,,,,990,1,1,0,0,19,2,2,0,743,9,10,10,1.0,1.0,0.9,34,2,504,655,76.9,40,407,23,10,4,Huddersfield Town
