Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Folarin Balogun,26.0,us USA,FW,20-041,58,0,0,0,0,3,0,0,0,13,0,0,0,0.2,0.2,0.0,0,0,3,5,60.0,0,6,0,1,0,Arsenal
Bukayo Saka,7.0,eng ENG,LW,19-342,32,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,16,22,72.7,4,21,4,4,3,Arsenal
Gabriel Martinelli,35.0,br BRA,"LW,FW",20-056,70,0,0,0,0,1,0,0,0,22,1,0,2,0.2,0.2,0.1,2,0,7,10,70.0,0,9,0,2,0,Arsenal
Reiss Nelson,24.0,eng ENG,RW,21-246,20,0,0,0,0,1,0,0,0,16,1,0,1,0.1,0.1,0.0,3,0,8,12,66.7,0,10,0,0,0,Arsenal
Nicolas Pépé,19.0,ci CIV,"RW,FW",26-076,90,0,0,0,0,4,1,0,0,60,0,1,0,0.2,0.2,0.2,6,0,34,44,77.3,1,37,3,4,2,Arsenal
Emile Smith Rowe,10.0,eng ENG,AM,21-016,90,0,0,0,0,2,1,0,0,57,0,0,0,0.1,0.1,0.1,4,0,49,51,96.1,13,44,6,3,2,Arsenal
Granit Xhaka,34.0,ch SUI,DM,28-320,90,0,0,0,0,2,0,0,0,93,1,2,2,0.1,0.1,0.0,6,0,79,89,88.8,16,53,3,1,1,Arsenal
Albert Sambi Lokonga,23.0,be BEL,DM,21-295,90,0,0,0,0,2,1,0,0,83,2,2,0,0.0,0.0,0.1,4,0,64,73,87.7,5,62,2,0,0,Arsenal
Kieran Tierney,3.0,sct SCO,LB,24-069,90,0,0,0,0,3,1,0,0,89,0,0,2,0.1,0.1,0.4,13,0,61,76,80.3,5,45,3,5,1,Arsenal
Pablo Marí,22.0,es ESP,CB,27-347,90,0,0,0,0,1,0,0,0,72,1,1,0,0.1,0.1,0.0,1,0,50,60,83.3,7,48,0,0,0,Arsenal
Ben White,4.0,eng ENG,CB,23-309,90,0,0,0,0,0,0,0,0,71,1,1,0,0.0,0.0,0.0,1,0,56,62,90.3,6,44,0,0,0,Arsenal
Calum Chambers,21.0,eng ENG,RB,26-205,80,0,0,0,0,2,0,0,0,82,2,0,1,0.1,0.1,0.1,1,0,58,71,81.7,4,47,0,0,0,Arsenal
Nuno Tavares,20.0,pt POR,RB,21-199,10,0,0,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,1,8,0,0,0,Arsenal
Bernd Leno,1.0,de GER,GK,29-162,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,29,35,82.9,0,21,0,0,0,Arsenal
14 Players,,,,,990,0,0,0,0,22,4,0,0,742,9,7,10,1.3,1.3,1.1,43,0,522,620,84.2,62,455,21,20,9,Arsenal
