Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Aleksandar Mitrović,9.0,rs SRB,FW,28-129,90,0,0,0,0,2,0,0,0,32,1,0,1,0.1,0.1,0.0,1,0,12,20,60.0,1,23,0,1,0,Fulham
Willian,20.0,br BRA,LW,34-167,86,0,0,0,0,1,1,0,0,51,0,0,1,0.0,0.0,0.0,1,0,33,43,76.7,3,31,2,0,0,Fulham
Carlos Vinícius,30.0,br BRA,LW,27-304,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,3,0,0,0,Fulham
Bobby De Cordova-Reid,14.0,jm JAM,"RW,RB",29-355,86,0,0,0,0,1,1,0,0,34,2,0,1,0.0,0.0,0.0,3,0,14,23,60.9,2,20,1,0,0,Fulham
Harry Wilson,8.0,wls WAL,RB,25-307,4,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,2,1,Fulham
Andreas Pereira,18.0,br BRA,AM,27-022,90,0,0,0,0,1,1,0,0,49,0,0,1,0.0,0.0,0.4,4,0,30,45,66.7,5,25,1,0,0,Fulham
Harrison Reed,6.0,eng ENG,DM,27-361,64,0,0,0,0,2,1,0,0,39,0,0,0,0.2,0.2,0.0,0,0,23,30,76.7,2,20,3,0,0,Fulham
Tom Cairney,10.0,sct SCO,DM,32-003,26,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.2,2,0,19,22,86.4,3,14,1,0,0,Fulham
João Palhinha,26.0,pt POR,DM,27-198,90,0,0,0,0,2,0,1,0,61,5,3,2,0.5,0.5,0.0,2,0,34,44,77.3,4,27,1,1,0,Fulham
Antonee Robinson,33.0,us USA,LB,25-168,90,0,0,0,0,0,0,0,0,79,4,4,3,0.0,0.0,0.0,1,0,56,63,88.9,3,36,4,6,3,Fulham
Tim Ream,13.0,us USA,CB,35-110,90,0,0,0,0,0,0,0,0,86,1,0,0,0.0,0.0,0.0,0,0,70,80,87.5,12,50,3,0,0,Fulham
Issa Diop,31.0,fr FRA,CB,26-014,90,0,0,0,0,0,0,0,0,74,2,3,1,0.0,0.0,0.0,1,0,57,66,86.4,4,39,0,0,0,Fulham
Kenny Tete,2.0,nl NED,RB,27-106,79,0,0,0,0,0,0,0,0,80,3,0,3,0.0,0.0,0.0,2,0,57,67,85.1,4,31,2,0,0,Fulham
Manor Solomon,11.0,il ISR,RW,23-183,11,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,0,0,0,Fulham
Bernd Leno,17.0,de GER,GK,30-325,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,21,34,61.8,0,16,0,0,0,Fulham
15 Players,,,,,990,0,0,0,0,10,5,1,0,668,19,10,14,1.0,1.0,0.6,18,0,439,553,79.4,44,343,18,10,4,Fulham
