Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Danny Welbeck,18.0,eng ENG,"FW,LW",33-126,90,1,0,0,0,3,1,1,0,34,3,1,0,0.2,0.2,0.0,5,0,14,23,60.9,5,24,4,2,0,Brighton & Hove Albion
Simon Adingra,24.0,ci CIV,LW,22-090,82,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.1,1,0,16,25,64.0,4,29,5,7,3,Brighton & Hove Albion
Evan Ferguson,28.0,ie IRL,FW,19-164,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Brighton & Hove Albion
Tariq Lamptey,2.0,gh GHA,RW,23-183,69,0,0,0,0,0,0,0,0,18,2,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,10,0,1,0,Brighton & Hove Albion
Facundo Buonanotte,40.0,ar ARG,RW,19-099,21,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,7,10,70.0,1,12,0,1,1,Brighton & Hove Albion
Jakub Moder,15.0,pl POL,AM,24-359,82,0,0,0,0,1,0,0,0,43,3,0,2,0.0,0.0,0.0,0,0,20,27,74.1,1,26,1,4,2,Brighton & Hove Albion
Adam Lallana,14.0,eng ENG,AM,35-326,8,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,7,71.4,1,6,0,1,0,Brighton & Hove Albion
Carlos Baleba,20.0,cm CMR,DM,20-088,90,0,0,0,0,2,0,0,0,50,3,2,4,0.0,0.0,0.0,0,0,30,33,90.9,1,32,1,1,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,DM,32-290,90,0,0,0,0,0,0,1,0,103,3,0,1,0.0,0.0,0.1,3,0,83,97,85.6,9,84,1,0,0,Brighton & Hove Albion
Pervis Estupiñán,30.0,ec ECU,LB,26-070,89,0,0,0,0,0,0,0,0,66,4,0,1,0.0,0.0,0.0,1,0,42,53,79.2,3,38,4,1,0,Brighton & Hove Albion
Valentín Barco,19.0,ar ARG,LB,19-252,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,2,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,32-131,90,0,0,0,0,2,2,0,0,109,1,3,5,0.1,0.1,0.0,2,0,85,91,93.4,3,56,0,2,1,Brighton & Hove Albion
Jan Paul van Hecke,29.0,nl NED,CB,23-297,90,0,0,0,0,0,0,1,0,73,2,0,4,0.0,0.0,0.0,0,0,59,64,92.2,3,56,0,2,1,Brighton & Hove Albion
Joël Veltman,34.0,nl NED,RB,32-076,90,0,0,0,0,0,0,0,0,44,6,2,0,0.0,0.0,0.1,2,0,26,31,83.9,4,26,1,2,0,Brighton & Hove Albion
Bart Verbruggen,1.0,nl NED,GK,21-226,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,34,43,79.1,0,40,0,0,0,Brighton & Hove Albion
15 Players,,,,,990,1,0,0,0,9,3,3,0,654,28,9,18,0.5,0.5,0.4,15,0,429,516,83.1,35,443,17,26,8,Brighton & Hove Albion
