Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Odsonne Édouard,22.0,fr FRA,FW,24-266,85,1,0,0,0,2,1,0,0,34,1,0,2,0.3,0.3,0.0,2,0,17,20,85.0,2,11,0,0,0,Crystal Palace
Jean-Philippe Mateta,14.0,fr FRA,FW,25-103,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,0,0,Crystal Palace
Wilfried Zaha,11.0,ci CIV,"LW,RW",29-333,90,0,1,0,0,4,1,0,0,45,2,0,1,0.2,0.2,0.1,3,1,20,28,71.4,3,28,5,4,1,Crystal Palace
Jordan Ayew,9.0,gh GHA,RW,31-028,64,0,0,0,0,1,0,0,0,35,0,0,2,0.1,0.1,0.1,5,1,21,24,87.5,3,21,2,5,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,23-038,26,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,1,0,14,21,66.7,2,5,0,0,0,Crystal Palace
Eberechi Eze,10.0,eng ENG,"LM,LW",24-102,90,1,0,0,0,3,1,0,0,68,1,1,0,0.2,0.2,0.3,4,1,42,56,75.0,5,26,3,4,2,Crystal Palace
Cheick Doucouré,28.0,ml MLI,CM,22-274,63,0,0,0,0,0,0,1,0,49,2,3,1,0.0,0.0,0.1,3,0,29,37,78.4,3,21,1,0,0,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,31-185,27,0,0,0,0,0,0,0,0,6,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Crystal Palace
Michael Olise,7.0,fr FRA,"RM,RW",20-301,84,0,1,0,0,1,1,1,0,50,3,0,4,0.1,0.1,0.3,5,1,22,31,71.0,1,29,3,8,2,Crystal Palace
Will Hughes,19.0,eng ENG,"LM,RW",27-175,6,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,"LB,RM",29-290,90,0,0,0,0,0,0,0,0,79,3,4,4,0.0,0.0,0.0,1,0,44,66,66.7,2,29,2,1,1,Crystal Palace
Marc Guéhi,6.0,eng ENG,CB,22-088,90,0,0,0,0,0,0,1,0,72,2,0,3,0.0,0.0,0.0,1,0,52,61,85.2,1,38,1,2,1,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,26-131,90,0,0,0,0,2,1,0,0,59,1,2,1,0.2,0.2,0.0,0,0,32,44,72.7,4,29,0,1,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,32-345,90,0,0,0,0,0,0,0,0,56,1,3,1,0.0,0.0,0.0,0,0,36,48,75.0,6,18,0,0,0,Crystal Palace
Vicente Guaita,13.0,es ESP,GK,35-272,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,22,0,0,0,Crystal Palace
15 Players,,,,,990,2,2,0,0,13,5,3,0,615,18,13,21,1.1,1.1,1.0,25,4,358,475,75.4,32,284,17,25,7,Crystal Palace
