Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Carlton Morris,9.0,eng ENG,FW,27-281,90,1,0,1,1,2,1,0,0,31,0,0,1,1.0,0.3,0.0,5,0,15,23,65.2,5,22,0,3,2,Luton Town
Chiedozie Ogbene,7.0,ie IRL,"LW,RM",26-145,90,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.3,9,0,23,33,69.7,2,29,13,4,2,Luton Town
Jacob Brown,19.0,sct SCO,RW,25-166,71,0,0,0,0,4,1,0,0,29,1,0,0,0.4,0.4,0.0,1,0,8,15,53.3,2,20,2,2,0,Luton Town
Cauley Woodrow,10.0,eng ENG,RW,28-295,19,0,0,0,0,2,0,0,0,11,0,0,0,0.3,0.3,0.1,1,0,3,5,60.0,0,8,1,0,0,Luton Town
Alfie Doughty,45.0,eng ENG,LM,23-276,71,0,0,0,0,3,0,0,0,70,0,2,2,0.1,0.1,0.5,9,0,43,60,71.7,6,38,4,1,0,Luton Town
Ryan Giles,26.0,eng ENG,LM,23-240,19,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,9,33.3,1,4,0,0,0,Luton Town
Marvelous Nakamba,13.0,zw ZIM,CM,29-247,90,0,0,0,0,1,0,0,0,60,6,1,0,0.1,0.1,0.0,0,0,41,51,80.4,4,31,0,1,1,Luton Town
Albert Sambi Lokonga,28.0,be BEL,CM,23-336,56,0,0,0,0,2,1,0,0,43,1,0,0,0.1,0.1,0.0,1,0,30,37,81.1,3,29,0,0,0,Luton Town
Pelly Ruddock Mpanzu,17.0,cd COD,CM,30-068,34,0,0,0,0,2,0,0,0,32,0,0,0,0.1,0.1,0.2,3,0,24,28,85.7,6,19,1,0,0,Luton Town
Issa Kaboré,12.0,bf BFA,RM,22-134,84,0,0,0,0,1,0,0,0,55,5,1,0,0.0,0.0,0.0,1,1,30,42,71.4,3,24,4,1,0,Luton Town
Elijah Adebayo,11.0,eng ENG,LW,25-259,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Luton Town
Amari'i Bell,29.0,jm JAM,CB,29-141,90,0,0,0,0,0,0,0,0,65,4,2,0,0.0,0.0,0.0,2,0,41,55,74.5,9,44,6,4,3,Luton Town
Tom Lockyer,4.0,wls WAL,CB,28-294,90,0,0,0,0,0,0,0,0,67,2,1,0,0.0,0.0,0.0,3,0,47,59,79.7,13,42,3,0,0,Luton Town
Reece Burke,16.0,eng ENG,CB,27-021,90,0,0,0,0,1,0,0,0,62,1,1,0,0.1,0.1,0.0,1,0,38,52,73.1,4,40,0,0,0,Luton Town
Thomas Kaminski,24.0,be BEL,GK,30-335,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,18,31,58.1,0,22,0,0,0,Luton Town
15 Players,,,,,990,1,0,1,1,19,3,0,0,609,20,8,3,2.2,1.4,1.2,36,1,364,501,72.7,58,372,34,16,8,Luton Town
