Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Carlton Morris,9.0,eng ENG,FW,27-344,73,0,1,0,0,1,0,0,0,22,0,0,1,0.1,0.1,0.1,1,1,11,19,57.9,1,13,0,0,0,Luton Town
Elijah Adebayo,11.0,eng ENG,FW,25-322,17,0,0,0,0,0,0,1,0,9,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Luton Town
Chiedozie Ogbene,7.0,ie IRL,"AM,WB",26-208,90,0,1,0,0,1,0,0,0,46,1,1,2,0.0,0.0,0.5,2,1,25,31,80.6,0,29,7,7,3,Luton Town
Andros Townsend,30.0,eng ENG,AM,32-132,60,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,10,18,55.6,2,15,0,0,0,Luton Town
Tahith Chong,14.0,cw CUW,AM,23-356,30,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,3,1,1,Luton Town
Ross Barkley,6.0,eng ENG,CM,29-355,90,0,0,0,0,1,0,1,0,53,3,0,0,0.0,0.0,0.0,2,1,37,43,86.0,5,32,1,3,1,Luton Town
Pelly Ruddock Mpanzu,17.0,cd COD,CM,30-131,60,0,0,0,0,0,0,0,0,33,1,0,2,0.0,0.0,0.0,1,0,24,29,82.8,4,13,0,0,0,Luton Town
Jordan Clark,18.0,eng ENG,CM,30-064,30,0,0,0,0,0,0,1,0,18,2,0,0,0.0,0.0,0.0,1,0,7,11,63.6,1,3,0,0,0,Luton Town
Amari'i Bell,29.0,jm JAM,WB,29-204,90,0,0,0,0,1,1,0,0,60,3,1,3,0.0,0.0,0.3,2,0,28,41,68.3,3,27,3,2,0,Luton Town
Alfie Doughty,45.0,eng ENG,WB,23-339,78,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.0,3,0,33,47,70.2,3,28,7,5,3,Luton Town
Jacob Brown,19.0,sct SCO,AM,25-229,12,1,0,0,0,1,1,0,0,10,1,1,0,0.5,0.5,0.0,0,0,0,2,0.0,0,4,0,1,0,Luton Town
Gabriel Osho,2.0,ng NGA,CB,25-103,90,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.0,2,0,33,37,89.2,3,23,0,1,1,Luton Town
Tom Lockyer,4.0,wls WAL,CB,28-357,90,0,0,0,0,2,0,1,0,47,2,4,3,0.3,0.3,0.0,0,0,22,29,75.9,2,24,0,0,0,Luton Town
Teden Mengi,15.0,eng ENG,CB,21-209,90,1,0,0,0,1,1,0,0,46,3,1,1,0.1,0.1,0.0,0,0,18,26,69.2,2,20,0,0,0,Luton Town
Thomas Kaminski,24.0,be BEL,GK,31-033,90,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,20,41,48.8,0,25,0,0,0,Luton Town
15 Players,,,,,990,2,2,0,0,8,3,6,0,528,18,12,15,0.9,0.9,0.9,14,3,272,381,71.4,26,263,21,20,9,Luton Town
