Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Alexander Isak,14.0,se SWE,FW,25-155,86,2,0,1,1,2,1,0,0,34,2,0,1,1.0,0.2,0.0,2,2,18,24,75.0,2,22,1,3,1,Newcastle United
Callum Wilson,9.0,eng ENG,FW,32-362,4,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,4,1,1,0,Newcastle United
Anthony Gordon,10.0,eng ENG,LW,23-365,90,0,0,0,0,2,0,0,0,57,1,0,0,0.4,0.4,0.0,2,1,38,51,74.5,9,32,3,3,1,Newcastle United
Jacob Murphy,23.0,eng ENG,RW,29-365,69,1,0,0,0,2,2,0,0,48,1,0,1,1.2,1.2,0.0,3,0,23,42,54.8,2,16,3,3,3,Newcastle United
Harvey Barnes,11.0,eng ENG,RW,27-076,21,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,1,1,0,Newcastle United
Joe Willock,28.0,eng ENG,LM,25-187,69,0,1,0,0,0,0,0,0,35,1,1,2,0.0,0.0,0.2,5,2,24,26,92.3,4,18,5,6,2,Newcastle United
Sandro Tonali,8.0,it ITA,CM,24-291,21,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,0,4,0,2,2,Newcastle United
Bruno Guimarães,39.0,br BRA,"CM,LM",27-099,90,0,0,0,0,1,0,0,0,58,0,3,2,0.1,0.1,0.0,3,0,28,39,71.8,2,25,1,1,0,Newcastle United
Lewis Miley,67.0,eng ENG,RM,18-298,90,1,0,0,0,2,1,0,0,63,2,2,2,0.1,0.1,0.0,2,0,38,47,80.9,7,24,1,1,0,Newcastle United
Lewis Hall,20.0,eng ENG,LB,20-168,90,0,1,0,0,0,0,0,0,87,6,2,1,0.0,0.0,0.2,4,2,63,76,82.9,4,32,2,4,3,Newcastle United
Dan Burn,33.0,eng ENG,CB,32-290,90,0,0,0,0,0,0,0,0,84,2,0,0,0.0,0.0,0.0,0,0,62,71,87.3,3,50,2,1,1,Newcastle United
Fabian Schär,5.0,ch SUI,CB,33-065,90,0,0,0,0,1,0,0,0,63,2,3,3,0.1,0.1,0.0,0,0,40,48,83.3,2,31,0,1,0,Newcastle United
Valentino Livramento,21.0,eng ENG,RB,22-103,90,0,0,0,0,0,0,1,0,56,3,0,0,0.0,0.0,0.4,1,0,38,42,90.5,7,20,1,3,0,Newcastle United
Nick Pope,22.0,eng ENG,GK,32-310,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,33,81.8,0,16,0,0,0,Newcastle United
14 Players,,,,,990,4,2,1,1,12,4,1,0,645,20,11,12,2.9,2.1,0.9,23,7,407,512,79.5,42,296,21,30,13,Newcastle United
