Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Odsonne Édouard,22.0,fr FRA,FW,24-111,90,0,0,0,0,1,1,0,0,33,1,0,1,0.1,0.1,0.0,3,0,19,23,82.6,1,24,4,6,4,Crystal Palace
Wilfried Zaha,11.0,ci CIV,LW,29-178,82,1,0,1,1,2,1,0,0,47,1,0,0,0.9,0.1,0.4,4,0,33,37,89.2,8,39,1,3,1,Crystal Palace
Jean-Philippe Mateta,14.0,fr FRA,LW,24-313,8,0,0,0,0,2,1,0,0,4,0,0,0,0.6,0.6,0.0,2,0,2,2,100.0,1,1,0,0,0,Crystal Palace
Michael Olise,7.0,fr FRA,RW,20-146,90,0,0,0,0,2,1,1,0,74,1,0,1,0.2,0.2,0.2,3,0,40,61,65.6,4,45,3,7,5,Crystal Palace
Eberechi Eze,10.0,eng ENG,LM,23-312,90,0,0,0,0,3,0,0,0,54,0,0,2,0.1,0.1,0.1,5,1,38,46,82.6,1,30,2,0,0,Crystal Palace
Will Hughes,12.0,eng ENG,CM,27-020,90,0,0,0,0,0,0,1,0,56,5,2,2,0.0,0.0,0.0,3,0,39,48,81.3,3,32,0,0,0,Crystal Palace
Conor Gallagher,23.0,eng ENG,RM,22-090,62,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,15,24,62.5,0,23,2,2,1,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,RM,29-135,28,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,5,1,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,"LB,CB",32-190,90,0,0,0,0,0,0,0,0,86,1,0,1,0.0,0.0,0.0,0,0,71,80,88.8,6,50,0,0,0,Crystal Palace
Marc Guéhi,6.0,eng ENG,CB,21-298,72,0,0,0,0,2,1,0,0,74,0,0,0,0.2,0.2,0.0,1,0,68,70,97.1,3,55,0,0,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,22-248,18,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,1,0,13,16,81.3,2,10,1,0,0,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,25-341,90,0,0,0,0,0,0,0,0,98,0,1,0,0.0,0.0,0.1,1,0,78,94,83.0,7,64,1,0,0,Crystal Palace
Nathaniel Clyne,17.0,eng ENG,RB,31-032,90,0,0,0,0,0,0,0,0,63,1,0,1,0.0,0.0,0.0,1,0,44,54,81.5,4,25,0,2,1,Crystal Palace
Jack Butland,1.0,eng ENG,GK,29-058,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,14,0,0,0,Crystal Palace
14 Players,,,,,990,1,0,1,1,14,6,2,0,673,11,3,10,2.2,1.4,0.9,25,1,487,589,82.7,40,417,15,20,12,Crystal Palace
