Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Dwight Gayle,16.0,eng ENG,FW,25-000,43,0,0,0,0,0,0,2,1,2,3,1,1,2,0,0,,,Crystal Palace
Yannick Bolasie,10.0,cd COD,AM,26-146,90,0,0,0,0,0,0,0,0,1,2,1,3,1,1,0,,,Crystal Palace
Wilfried Zaha,11.0,ci CIV,AM,22-341,45,0,0,0,0,1,0,0,0,1,1,0,2,0,1,0,,,Crystal Palace
Bakary Sako,26.0,ml MLI,"FW,MF",27-174,45,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,,,Crystal Palace
Jason Puncheon,42.0,eng ENG,AM,29-121,90,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,,,Crystal Palace
James McArthur,18.0,sct SCO,DM,28-010,62,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,Crystal Palace
Mile Jedinak,15.0,au AUS,MF,31-075,28,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,,,Crystal Palace
Yohan Cabaye,7.0,fr FRA,DM,29-276,76,1,0,1,1,1,1,0,0,0,2,0,1,5,4,0,,,Crystal Palace
Joe Ledley,28.0,wls WAL,MF,28-267,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Crystal Palace
Pape Souaré,23.0,sn SEN,LB,25-133,90,0,0,0,0,0,0,0,0,1,1,0,4,1,2,0,,,Crystal Palace
Brede Hangeland,4.0,no NOR,CB,34-119,90,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,,,Crystal Palace
Scott Dann,6.0,eng ENG,CB,28-245,90,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,,,Crystal Palace
Martin Kelly,34.0,eng ENG,RB,25-173,90,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,,,Crystal Palace
Wayne Hennessey,13.0,wls WAL,GK,28-266,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Crystal Palace
14 Players,,,,,943,1,0,1,1,6,1,3,1,9,10,2,15,17,26,0,,,Crystal Palace
