Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Graziano Pellè,19.0,it ITA,FW,30-206,71,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,,,Southampton
Charlie Austin,10.0,eng ENG,FW,26-216,19,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,,,Southampton
Shane Long,7.0,ie IRL,FW,29-015,90,0,0,0,0,1,0,0,0,4,3,0,1,2,1,0,,,Southampton
Sadio Mané,10.0,sn SEN,FW,23-302,55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Southampton
Oriol Romeu,14.0,es ESP,MF,24-135,35,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,Southampton
Jordy Clasie,4.0,nl NED,CM,24-224,89,0,0,0,0,1,0,1,0,0,1,0,5,0,2,0,,,Southampton
James Ward-Prowse,16.0,eng ENG,MF,21-097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
Victor Wanyama,12.0,ke KEN,CM,24-226,53,0,1,0,0,0,0,0,1,5,0,0,0,2,0,0,,,Southampton
Ryan Bertrand,21.0,eng ENG,LM,26-185,90,0,0,0,0,0,0,0,0,1,2,0,4,1,3,0,,,Southampton
Cédric Soares,2.0,pt POR,RM,24-159,90,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,,,Southampton
Maya Yoshida,3.0,jp JPN,CB,27-166,90,1,0,0,0,1,1,0,0,2,0,0,0,2,4,0,,,Southampton
José Fonte,6.0,pt POR,CB,32-046,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Southampton
Virgil van Dijk,17.0,nl NED,CB,24-213,90,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,,,Southampton
Fraser Forster,1.0,eng ENG,GK,27-326,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
14 Players,,,,,953,1,1,0,0,8,2,1,1,17,10,0,13,15,18,0,,,Southampton
Enner Valencia,11.0,ec ECU,FW,26-094,90,0,0,0,0,6,1,1,0,1,3,0,7,1,1,0,,,West Ham United
Victor Moses,20.0,ng NGA,AM,25-056,60,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,,,West Ham United
Andy Carroll,9.0,eng ENG,FW,27-031,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,West Ham United
Dimitri Payet,27.0,fr FRA,AM,28-314,90,0,0,0,0,0,0,0,0,1,3,0,12,1,1,0,,,West Ham United
Alexandre Song,4.0,cm CMR,DM,28-150,90,0,0,0,0,3,0,0,0,1,1,0,1,4,1,0,,,West Ham United
Mark Noble,16.0,eng ENG,DM,28-274,90,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-053,90,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,,,West Ham United
Michail Antonio,30.0,jm JAM,AM,25-315,72,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,,,West Ham United
Emmanuel Emenike,29.0,ng NGA,FW,28-272,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,West Ham United
Winston Reid,2.0,nz NZL,CB,27-218,90,0,0,0,0,3,1,0,0,2,2,0,0,2,2,0,,,West Ham United
James Collins,19.0,wls WAL,CB,32-167,90,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,,,West Ham United
James Tomkins,5.0,eng ENG,RB,26-314,60,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,,,West Ham United
Sam Byram,22.0,eng ENG,"DF,MF",22-143,30,0,0,0,0,0,0,1,0,2,0,1,6,1,0,0,,,West Ham United
Adrián,13.0,es ESP,GK,29-034,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,0,0,0,0,18,2,2,0,10,17,3,33,18,8,0,,,West Ham United
