Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,34-022,90,1,0,1,1,1,1,0,0,1,0,3,0,1,0,0,0,0,Sunderland
Duncan Watmore,14.0,eng ENG,LM,22-235,83,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,Sunderland
Lynden Gooch,46.0,us USA,"DF,FW",20-310,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Sunderland
Wahbi Khazri,10.0,tn TUN,RM,25-264,90,0,0,0,0,0,0,1,0,1,2,1,8,3,1,0,0,0,Sunderland
Steven Pienaar,20.0,za RSA,CM,34-226,69,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,Sunderland
Adnan Januzaj,44.0,be BEL,"FW,MF",21-267,21,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Sunderland
Jack Rodwell,8.0,eng ENG,CM,25-232,90,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,Sunderland
Didier Ibrahim Ndong,17.0,ga GAB,CM,22-134,90,0,0,0,0,0,0,1,0,1,3,0,2,1,1,0,0,0,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,26-061,90,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,Sunderland
John O'Shea,16.0,ie IRL,CB,35-182,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
Papy Djilobodji,5.0,sn SEN,DF,27-333,49,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-271,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Sunderland
Billy Jones,2.0,eng ENG,RB,29-219,90,0,0,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0,Sunderland
Jordan Pickford,13.0,eng ENG,GK,22-236,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
14 Players,,,,,990,1,0,1,1,3,1,4,0,9,12,6,16,17,7,0,1,0,Sunderland
