Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Sam Vokes,9.0,wls WAL,FW,27-050,54,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,Burnley
Andre Gray,7.0,jm JAM,FW,25-167,36,0,1,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,Burnley
George Boyd,21.0,sct SCO,AM,31-069,89,1,0,0,0,2,1,1,0,2,1,1,0,1,3,0,0,0,Burnley
James Tarkowski,26.0,eng ENG,DF,24-021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
Scott Arfield,37.0,ca CAN,AM,28-039,90,0,0,0,0,1,0,1,0,2,2,1,3,0,1,0,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,AM,24-314,90,1,0,0,0,1,1,0,0,1,4,0,0,1,5,0,0,0,Burnley
Dean Marney,8.0,eng ENG,DM,32-314,90,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,Burnley
Steven Defour,16.0,be BEL,DM,28-239,54,0,0,0,0,0,0,0,0,2,0,1,3,1,2,0,0,0,Burnley
Ashley Barnes,10.0,eng ENG,"FW,MF",27-041,36,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Burnley
Stephen Ward,23.0,ie IRL,LB,31-112,90,1,0,0,0,2,1,0,0,0,4,0,3,1,2,0,0,0,Burnley
Ben Mee,6.0,eng ENG,CB,27-080,90,0,0,0,0,1,1,0,0,1,3,0,0,2,4,0,0,0,Burnley
Michael Keane,5.0,eng ENG,CB,23-334,90,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,Burnley
Matthew Lowton,2.0,eng ENG,RB,27-184,90,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Burnley
Tom Heaton,1.0,eng ENG,GK,30-239,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
14 Players,,,,,990,3,2,0,0,15,7,2,0,15,17,5,10,9,20,0,0,0,Burnley
Callum Wilson,13.0,eng ENG,FW,24-287,58,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,MF,24-344,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-302,90,1,0,0,0,3,2,0,0,2,1,0,0,0,0,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,LM,22-290,80,0,0,0,0,2,0,0,0,1,4,0,4,1,0,0,0,0,Bournemouth
Marc Pugh,7.0,eng ENG,"FW,MF",29-252,10,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,CM,26-348,90,0,0,0,0,4,0,1,0,2,3,0,1,1,2,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,CM,26-313,71,0,0,0,0,2,0,1,0,2,3,0,2,1,1,0,0,0,Bournemouth
Joshua King,17.0,no NOR,"FW,MF",24-330,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RM,25-225,90,0,0,0,0,2,1,0,0,3,0,0,3,0,1,0,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,30-094,90,1,0,0,0,2,1,0,0,0,0,0,3,1,2,0,0,0,Bournemouth
Nathan Aké,5.0,nl NED,CB,21-296,90,0,0,0,0,2,0,0,0,0,1,0,1,3,0,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-235,90,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,RB,31-298,90,0,1,0,0,0,0,0,0,1,1,0,6,0,1,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-294,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
14 Players,,,,,990,2,2,0,0,18,4,2,0,18,14,0,25,7,11,0,0,0,Bournemouth
