Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Connor Wickham,21.0,eng ENG,FW,22-298,90,0,0,0,0,1,0,0,0,3,1,0,0,1,2,0,,,Crystal Palace
James McArthur,18.0,sct SCO,DM,28-108,78,0,0,0,0,0,0,1,0,1,1,0,2,1,1,0,,,Crystal Palace
Mile Jedinak,15.0,au AUS,MF,31-173,12,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,,,Crystal Palace
Jason Puncheon,42.0,eng ENG,AM,29-219,90,0,0,0,0,1,0,0,0,2,1,0,5,2,3,0,,,Crystal Palace
Joe Ledley,28.0,wls WAL,DM,29-000,90,0,0,0,0,1,0,0,0,2,0,0,0,2,3,0,,,Crystal Palace
Yohan Cabaye,7.0,fr FRA,AM,30-009,85,0,0,0,0,1,0,0,0,1,1,0,5,4,3,0,,,Crystal Palace
Fraizer Campbell,9.0,eng ENG,FW,28-132,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,Crystal Palace
Wilfried Zaha,11.0,ci CIV,AM,23-074,90,0,0,0,0,2,1,0,0,1,6,0,5,2,3,0,,,Crystal Palace
Pape Souaré,23.0,sn SEN,LB,25-231,90,0,0,0,0,1,1,0,0,0,1,0,3,1,5,0,,,Crystal Palace
Damien Delaney,27.0,ie IRL,CB,34-187,90,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,,,Crystal Palace
Scott Dann,6.0,eng ENG,CB,28-343,90,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,,,Crystal Palace
Joel Ward,2.0,eng ENG,RB,26-086,90,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,,,Crystal Palace
Wayne Hennessey,13.0,wls WAL,GK,28-364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Crystal Palace
13 Players,,,,,990,0,0,0,0,11,3,2,0,11,12,0,24,20,27,0,,,Crystal Palace
Harry Kane,10.0,eng ENG,FW,22-179,90,1,0,0,0,4,3,1,0,2,1,2,3,0,0,0,,,Tottenham Hotspur
Dele Alli,20.0,eng ENG,AM,19-287,90,1,1,0,0,7,4,0,0,1,1,0,0,1,1,0,,,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,AM,23-199,90,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0,,,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,AM,23-343,88,0,1,0,0,4,1,0,0,0,1,0,9,2,0,0,,,Tottenham Hotspur
Nabil Bentaleb,6.0,dz ALG,MF,21-060,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
Eric Dier,15.0,eng ENG,DM,22-008,55,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,Tottenham Hotspur
Nacer Chadli,22.0,be BEL,"FW,MF",26-174,35,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,,,Tottenham Hotspur
Mousa Dembélé,19.0,be BEL,DM,28-191,90,0,0,0,0,2,0,0,0,0,1,0,0,6,1,0,,,Tottenham Hotspur
Danny Rose,3.0,eng ENG,LB,25-205,90,0,0,0,0,1,1,0,0,3,1,0,2,1,0,0,,,Tottenham Hotspur
Jan Vertonghen,5.0,be BEL,CB,28-274,74,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,,,Tottenham Hotspur
Kevin Wimmer,27.0,at AUT,DF,23-069,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,CB,26-327,90,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,,,Tottenham Hotspur
Kieran Trippier,16.0,eng ENG,RB,25-126,90,0,0,0,0,0,0,1,0,1,2,0,6,1,3,0,,,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,29-028,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
14 Players,,,,,990,3,3,0,0,24,11,2,0,12,11,2,23,16,7,1,,,Tottenham Hotspur
