Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Joselu,11.0,es ESP,FW,25-292,81,1,0,0,0,3,1,0,0,2,3,0,1,1,1,0,,,Stoke City
Peter Crouch,25.0,eng ENG,FW,34-348,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Stoke City
Marko Arnautović,10.0,at AUT,AM,26-269,75,0,1,0,0,2,1,0,0,1,0,0,4,3,0,0,,,Stoke City
Marco van Ginkel,15.0,nl NED,MF,23-043,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Stoke City
Jonathan Walters,19.0,ie IRL,AM,32-115,90,1,0,0,0,3,1,0,0,1,1,0,1,0,0,0,,,Stoke City
Bojan Krkić,27.0,es ESP,AM,25-138,55,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,,,Stoke City
Peter Odemwingie,9.0,ng NGA,FW,34-182,35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,Stoke City
Ibrahim Afellay,14.0,nl NED,DM,29-286,90,0,1,0,0,1,0,0,0,0,2,0,7,2,0,0,,,Stoke City
Glenn Whelan,6.0,ie IRL,DM,32-000,90,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,,,Stoke City
Erik Pieters,3.0,nl NED,LB,27-159,90,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,,,Stoke City
Philipp Wollscheid,26.0,de GER,CB,26-313,90,0,0,0,0,0,0,0,0,0,2,0,0,4,6,0,,,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,28-101,90,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,,,Stoke City
Glen Johnson,8.0,eng ENG,RB,31-143,90,0,0,0,0,1,0,0,0,1,0,1,5,1,0,0,,,Stoke City
Jack Butland,1.0,eng ENG,GK,22-309,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Stoke City
14 Players,,,,,990,2,2,0,0,14,4,0,0,5,8,2,30,15,18,0,,,Stoke City
Dieumerci Mbokani,9.0,cd COD,FW,30-052,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
Cameron Jerome,10.0,eng ENG,FW,29-152,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,Norwich City
Wes Hoolahan,14.0,ie IRL,DM,33-238,62,0,0,0,0,1,0,0,0,0,1,0,2,1,2,0,,,Norwich City
Matthew Jarvis,16.0,eng ENG,MF,29-236,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,Norwich City
Jonny Howson,8.0,eng ENG,AM,27-237,90,1,0,0,0,2,1,0,0,0,2,0,0,2,0,0,,,Norwich City
Gary O'Neil,28.0,eng ENG,DM,32-240,30,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,,,Norwich City
Alexander Tettey,27.0,no NOR,DM,29-284,90,0,0,0,0,0,0,1,0,4,0,0,1,0,3,0,,,Norwich City
Vadis Odjidja-Ofoe,32.0,be BEL,DM,26-326,61,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,"FW,MF",21-313,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,LB,23-364,90,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,,,Norwich City
Sébastien Bassong,6.0,cm CMR,CB,29-188,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Norwich City
Ryan Bennett,24.0,eng ENG,CB,25-313,90,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,,,Norwich City
Russell Martin,5.0,sct SCO,RB,30-009,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Norwich City
Declan Rudd,13.0,eng ENG,GK,24-362,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
14 Players,,,,,930,1,1,0,0,5,2,1,1,8,4,1,12,9,12,1,,,Norwich City
