Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Álvaro Negredo,10.0,es ESP,FW,31-070,85,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,Middlesbrough
Jordan Rhodes,9.0,sct SCO,FW,26-267,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Middlesbrough
Stewart Downing,19.0,eng ENG,AM,32-099,90,1,0,0,0,2,1,0,0,0,0,0,8,3,2,0,0,0,Middlesbrough
Adama Traoré,37.0,es ESP,AM,20-278,89,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,Middlesbrough
Viktor Fischer,11.0,dk DEN,"FW,MF",22-142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Middlesbrough
Gastón Ramírez,21.0,uy URU,AM,25-332,62,1,0,0,0,3,1,1,0,1,0,0,3,3,1,0,0,0,Middlesbrough
Grant Leadbitter,7.0,eng ENG,MF,30-296,28,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Middlesbrough
Adam Clayton,8.0,eng ENG,DM,27-289,90,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,Middlesbrough
Adam Forshaw,34.0,eng ENG,DM,25-021,90,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,Middlesbrough
George Friend,3.0,eng ENG,LB,29-012,90,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,Middlesbrough
Ben Gibson,6.0,eng ENG,CB,23-288,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Middlesbrough
Calum Chambers,25.0,eng ENG,CB,21-283,90,0,0,0,0,0,0,1,0,1,0,0,0,2,4,0,0,0,Middlesbrough
Antonio Barragán,17.0,es ESP,RB,29-139,90,0,0,0,0,1,0,0,0,1,1,0,2,1,7,0,0,0,Middlesbrough
Víctor Valdés,26.0,es ESP,GK,34-289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Middlesbrough
14 Players,,,,,990,2,1,0,0,11,3,2,0,7,6,0,16,17,26,0,0,0,Middlesbrough
Callum Wilson,13.0,eng ENG,FW,24-245,59,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-260,31,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,Bournemouth
Jordon Ibe,33.0,eng ENG,AM,20-326,59,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,"FW,MF",22-248,31,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,Bournemouth
Joshua King,17.0,no NOR,AM,24-288,90,0,0,0,0,4,2,0,0,3,0,0,1,2,0,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,AM,24-302,90,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,DM,26-306,72,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,"DF,MF",26-271,18,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Bournemouth
Andrew Surman,6.0,eng ENG,DM,30-070,90,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,30-052,90,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-193,90,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-256,90,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,25-183,90,0,0,0,0,5,0,1,0,1,2,0,1,1,3,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-252,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
14 Players,,,,,990,0,0,0,0,18,3,1,0,7,7,0,22,13,14,0,0,0,Bournemouth
