Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Wayne Rooney,10.0,eng ENG,FW,30-101,90,1,1,0,0,3,2,0,0,2,1,1,2,0,0,0,,,Manchester United
Anthony Martial,11.0,fr FRA,AM,20-059,78,1,1,0,0,5,2,1,0,4,2,2,3,0,0,0,,,Manchester United
Memphis,7.0,nl NED,"FW,MF",21-354,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Manchester United
Jesse Lingard,14.0,eng ENG,AM,23-049,90,1,0,0,0,1,1,0,0,3,4,0,0,2,1,0,,,Manchester United
Juan Mata,8.0,es ESP,AM,27-280,87,0,0,0,0,5,0,0,0,0,1,0,2,0,2,0,,,Manchester United
Andreas Pereira,44.0,br BRA,MF,20-032,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester United
Michael Carrick,16.0,eng ENG,DM,34-189,90,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,,,Manchester United
Marouane Fellaini,27.0,be BEL,DM,28-072,79,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,,,Manchester United
Ander Herrera,21.0,es ESP,MF,26-172,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester United
Cameron Borthwick-Jackson,43.0,eng ENG,LB,19-000,90,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,,,Manchester United
Daley Blind,17.0,nl NED,CB,25-330,90,0,0,0,0,0,0,0,0,2,0,0,2,4,3,0,,,Manchester United
Chris Smalling,12.0,eng ENG,CB,26-072,90,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,,,Manchester United
Matteo Darmian,36.0,it ITA,RB,26-062,90,0,0,0,0,0,0,1,0,1,1,0,2,4,3,0,,,Manchester United
David de Gea,1.0,es ESP,GK,25-087,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester United
14 Players,,,,,990,3,3,0,0,15,5,2,0,13,13,3,14,15,19,0,,,Manchester United
Peter Crouch,25.0,eng ENG,FW,35-003,90,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,,,Stoke City
Marko Arnautović,10.0,at AUT,AM,26-289,90,0,0,0,0,2,0,0,0,1,1,0,2,2,1,0,,,Stoke City
Jonathan Walters,19.0,ie IRL,AM,32-135,90,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,,,Stoke City
Bojan Krkić,27.0,es ESP,AM,25-158,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Stoke City
Stephen Ireland,7.0,ie IRL,MF,29-164,31,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,Stoke City
Ibrahim Afellay,14.0,nl NED,DM,29-306,90,0,0,0,0,3,0,0,0,1,2,0,5,0,0,0,,,Stoke City
Glenn Whelan,6.0,ie IRL,DM,32-020,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,Stoke City
Erik Pieters,3.0,nl NED,LB,27-179,90,0,0,0,0,1,0,0,0,2,1,0,5,2,2,0,,,Stoke City
Marc Muniesa,5.0,es ESP,CB,23-312,90,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,,,Stoke City
Philipp Wollscheid,26.0,de GER,CB,26-333,29,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Stoke City
Phil Bardsley,2.0,sct SCO,DF,30-219,61,0,0,0,0,1,0,0,0,2,3,0,2,2,1,0,,,Stoke City
Glen Johnson,8.0,eng ENG,RB,31-163,90,0,0,0,0,2,0,0,0,1,2,0,0,2,2,0,,,Stoke City
Jack Butland,1.0,eng ENG,GK,22-329,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Stoke City
13 Players,,,,,990,0,0,0,0,10,0,1,0,13,13,1,18,12,15,0,,,Stoke City
